Weather City,Year,Month,Mean Max Temp,Mean Min Temp,Mean Temp,Total Rain,Total Snow,Total Precip
Bella Coola,1983.0,2,7.4,0.4,3.9,74.0,1.8,75.0
Bella Coola,1983.0,3,12.4,-0.8,5.8,37.5,0.0,37.5
Bella Coola,1983.0,4,16.3,2.6,9.5,9.5,0.0,9.5
Bella Coola,1983.0,5,19.3,7.0,13.2,36.0,0.0,36.0
Bella Coola,1983.0,6,17.9,10.9,14.4,89.4,0.0,89.4
Bella Coola,1983.0,7,20.5,11.3,15.9,68.7,0.0,68.7
Bella Coola,1983.0,8,21.5,11.1,16.3,35.8,0.0,35.8
Bella Coola,1983.0,9,16.2,7.6,11.9,118.8,0.0,118.8
Bella Coola,1983.0,10,11.1,4.0,7.6,146.0,0.0,146.0
Bella Coola,1983.0,11,7.1,1.3,4.2,71.0,0.0,71.0
Bella Coola,1983.0,12,-1.5,-6.4,-4.0,9.0,17.2,24.7
Bella Coola,1984.0,1,5.0,-0.4,2.3,310.5,12.0,326.7
Bella Coola,1984.0,2,7.0,0.5,3.8,71.6,1.4,73.0
Bella Coola,1984.0,3,11.8,2.5,7.2,40.0,0.0,40.0
Bella Coola,1984.0,4,13.4,2.3,7.9,49.7,0.0,49.7
Bella Coola,1984.0,5,15.3,5.4,10.4,40.3,0.0,40.3
Bella Coola,1984.0,6,18.7,8.9,13.8,52.4,0.0,52.4
Bella Coola,1984.0,7,22.0,10.6,16.3,33.5,0.0,33.5
Bella Coola,1984.0,8,20.0,11.2,15.6,71.6,0.0,71.6
Bella Coola,1984.0,9,16.5,5.9,11.2,145.7,0.0,145.7
Bella Coola,1984.0,10,9.6,2.7,6.2,208.5,46.5,244.3
Bella Coola,1984.0,11,3.4,-2.3,0.6,88.4,23.6,111.6
Bella Coola,1984.0,12,-0.7,-5.2,-3.0,147.7,25.5,173.2
Bella Coola,1985.0,1,4.5,-2.5,1.0,61.9,10.1,72.4
Bella Coola,1985.0,2,3.4,-2.0,0.7,132.6,32.2,167.8
Bella Coola,1985.0,3,8.8,0.0,4.4,86.4,1.0,88.0
Bella Coola,1985.0,4,12.3,2.6,7.5,74.4,0.0,74.4
Bella Coola,1985.0,5,18.4,6.2,12.3,11.2,0.0,11.2
Bella Coola,1985.0,6,19.2,8.1,13.7,55.5,0.0,55.5
Bella Coola,1985.0,7,25.4,10.1,17.8,27.4,0.0,27.4
Bella Coola,1985.0,8,22.5,10.1,16.3,15.3,0.0,15.3
Bella Coola,1985.0,9,18.9,6.2,12.6,54.8,0.0,54.8
Bella Coola,1985.0,10,10.2,4.5,7.4,320.0,1.1,321.1
Bella Coola,1985.0,11,-2.6,-8.0,-5.3,56.8,25.8,82.6
Bella Coola,1985.0,12,2.2,-3.6,-0.7,22.0,19.8,41.8
Bella Coola,1986.0,1,4.8,-0.1,2.4,185.8,11.0,198.2
Bella Coola,1986.0,2,2.9,-4.6,-0.9,95.0,23.8,118.6
Bella Coola,1986.0,3,11.1,1.8,6.5,114.7,2.6,117.3
Bella Coola,1986.0,4,11.8,2.5,7.2,87.4,0.0,87.4
Bella Coola,1986.0,5,16.1,5.9,11.0,96.4,0.0,96.4
Bella Coola,1986.0,6,20.9,8.8,14.9,35.1,0.0,35.1
Bella Coola,1986.0,7,21.7,11.5,16.6,43.1,0.0,43.1
Bella Coola,1986.0,8,25.4,11.5,18.5,29.8,0.0,29.8
Bella Coola,1986.0,9,18.5,7.3,12.9,62.0,0.0,62.0
Bella Coola,1986.0,10,15.0,4.9,10.0,73.1,0.0,73.1
Bella Coola,1986.0,11,5.3,0.5,2.9,261.9,65.2,327.1
Bella Coola,1986.0,12,3.3,-1.5,0.9,84.0,9.0,95.0
Bella Coola,1987.0,1,3.9,-1.6,1.2,181.6,12.0,193.4
Bella Coola,1987.0,2,7.0,0.6,3.8,116.2,8.0,124.6
Bella Coola,1987.0,3,11.1,0.9,6.0,57.8,18.0,69.4
Bella Coola,1987.0,4,13.4,3.9,8.7,83.0,0.0,83.0
Bella Coola,1987.0,5,17.5,5.3,11.4,43.6,0.0,43.6
Bella Coola,1987.0,6,21.1,8.7,14.9,63.2,0.0,63.2
Bella Coola,1987.0,7,24.5,11.1,17.8,17.9,0.0,17.9
Bella Coola,1987.0,8,24.2,10.5,17.4,32.5,0.0,32.5
Bella Coola,1987.0,9,19.5,8.8,14.2,99.4,0.0,99.4
Bella Coola,1987.0,10,14.0,3.8,8.9,160.2,0.0,160.2
Bella Coola,1987.0,11,8.1,3.2,5.7,166.7,18.0,185.9
Bella Coola,1987.0,12,2.8,-1.5,0.7,77.3,24.3,96.3
Bella Coola,1988.0,1,1.9,-2.8,-0.5,107.9,15.3,123.2
Bella Coola,1988.0,2,5.7,-0.6,2.6,113.8,51.9,165.8
Bella Coola,1988.0,3,9.7,1.2,5.5,103.6,5.0,108.6
Bella Coola,1988.0,4,14.5,2.3,8.4,32.5,2.2,34.7
Bella Coola,1988.0,5,16.9,6.2,11.6,55.4,0.0,55.4
Bella Coola,1988.0,6,18.8,8.2,13.5,66.1,0.0,66.1
Bella Coola,1988.0,7,21.4,11.1,16.3,24.2,0.0,24.2
Bella Coola,1988.0,8,21.9,10.8,16.4,66.6,0.0,66.6
Bella Coola,1988.0,9,18.0,6.8,12.4,161.6,0.0,161.6
Bella Coola,1988.0,10,15.2,5.6,10.4,133.2,0.0,133.2
Bella Coola,1988.0,11,6.3,1.7,4.0,118.2,10.1,139.7
Bella Coola,1988.0,12,3.8,-1.1,1.4,112.3,22.3,132.8
Bella Coola,1989.0,1,2.4,-2.2,0.1,233.6,99.5,324.1
Bella Coola,1989.0,2,2.5,-7.1,-2.3,13.3,0.0,13.3
Bella Coola,1989.0,3,8.8,-1.6,3.6,18.0,11.3,27.6
Bella Coola,1989.0,4,17.2,2.1,9.7,28.5,0.0,28.5
Bella Coola,1989.0,5,18.3,6.5,12.4,43.4,0.0,43.4
Bella Coola,1989.0,6,23.1,9.2,16.2,22.7,0.0,22.7
Bella Coola,1989.0,7,23.2,11.1,17.2,40.4,0.0,40.4
Bella Coola,1989.0,8,22.6,11.4,17.0,31.0,0.0,31.0
Bella Coola,1989.0,9,22.1,7.4,14.8,23.9,0.0,23.9
Bella Coola,1989.0,10,12.7,4.8,8.8,198.3,0.0,198.3
Bella Coola,1989.0,11,7.8,2.2,5.0,318.5,14.0,330.7
Bella Coola,1989.0,12,5.9,1.5,3.7,195.1,7.4,202.5
Bella Coola,1990.0,1,3.0,-0.8,1.1,185.6,33.0,218.6
Bella Coola,1990.0,2,3.0,-5.0,-1.0,47.1,125.2,136.3
Bella Coola,1990.0,3,11.1,0.3,5.7,23.8,2.0,25.8
Bella Coola,1990.0,4,15.2,4.1,9.7,34.0,0.0,34.0
Bella Coola,1990.0,5,19.0,7.1,13.1,50.8,0.0,50.8
Bella Coola,1990.0,6,20.6,10.5,15.6,51.7,0.0,51.7
Bella Coola,1990.0,7,25.9,11.2,18.6,13.8,0.0,13.8
Bella Coola,1990.0,8,25.4,11.8,18.6,19.5,0.0,19.5
Bella Coola,1990.0,9,22.2,7.8,15.0,19.8,0.0,19.8
Bella Coola,1990.0,10,9.4,4.0,6.7,341.4,2.0,343.4
Bella Coola,1990.0,11,5.1,0.5,2.8,210.0,131.0,330.4
Bella Coola,1990.0,12,0.5,-5.8,-2.7,118.5,74.1,181.6
Bella Coola,1991.0,1,0.5,-6.0,-2.8,83.8,2.4,87.0
Bella Coola,1991.0,2,8.1,0.6,4.4,141.1,6.0,147.5
Bella Coola,1991.0,3,7.9,-2.0,3.0,13.0,9.0,23.4
Bella Coola,1991.0,4,14.8,2.2,8.5,31.3,0.0,31.3
Bella Coola,1991.0,5,19.2,6.4,12.8,11.4,0.0,11.4
Bella Coola,1991.0,6,20.1,9.9,15.0,55.8,0.0,55.8
Bella Coola,1991.0,7,22.1,11.1,16.6,41.2,0.0,41.2
Bella Coola,1991.0,8,23.0,11.3,17.1,65.1,0.0,65.1
Bella Coola,1991.0,9,19.8,8.3,14.1,46.6,0.0,46.6
Bella Coola,1991.0,10,12.0,3.5,7.8,155.2,0.6,155.8
Bella Coola,1991.0,11,7.4,2.4,4.9,305.5,6.2,312.7
Bella Coola,1991.0,12,6.1,1.1,3.6,186.2,20.0,206.2
Bella Coola,1992.0,1,5.3,0.4,2.9,207.4,8.2,215.8
Bella Coola,1992.0,2,7.0,-0.1,3.5,95.6,0.8,96.4
Bella Coola,1992.0,3,13.6,1.6,7.6,40.4,0.0,40.4
Bella Coola,1992.0,4,15.0,3.6,9.3,38.7,0.0,38.7
Bella Coola,1992.0,5,18.6,6.0,12.3,41.6,0.0,41.6
Bella Coola,1992.0,6,21.6,10.5,16.0,62.0,0.0,62.0
Bella Coola,1992.0,7,24.9,12.1,18.5,27.2,0.0,27.2
Bella Coola,1992.0,8,24.5,9.8,17.1,41.1,0.0,41.1
Bella Coola,1992.0,9,16.7,8.9,12.8,144.9,0.0,144.9
Bella Coola,1992.0,10,11.9,4.8,8.4,197.3,0.0,197.3
Bella Coola,1992.0,11,7.5,2.0,4.8,188.7,3.0,191.7
Bella Coola,1992.0,12,-0.2,-4.6,-2.4,79.6,69.8,143.6
Bella Coola,1993.0,1,0.5,-7.3,-3.4,21.9,23.0,41.3
Bella Coola,1993.0,2,6.8,-2.2,2.3,18.2,0.0,18.2
Bella Coola,1993.0,3,10.9,0.4,5.7,141.2,0.0,141.2
Bella Coola,1993.0,4,14.9,4.1,9.6,34.4,0.0,34.4
Bella Coola,1993.0,5,20.9,7.9,14.4,81.8,0.0,81.8
Bella Coola,1993.0,6,19.1,10.0,14.6,82.7,0.0,82.7
Bella Coola,1993.0,7,22.1,11.4,16.8,51.2,0.0,51.2
Bella Coola,1993.0,8,23.4,11.1,17.3,55.4,0.0,55.4
Bella Coola,1993.0,9,22.2,6.7,14.5,3.8,0.0,3.8
Bella Coola,1993.0,10,14.9,4.7,9.8,165.5,0.0,165.5
Bella Coola,1993.0,11,5.7,0.1,2.9,235.6,6.8,242.4
Bella Coola,1993.0,12,3.5,-0.8,1.3,119.3,11.2,130.5
Bella Coola,1994.0,1,6.8,1.8,4.3,115.7,1.0,116.7
Bella Coola,1994.0,2,0.7,-5.3,-2.3,94.2,76.5,161.5
Bella Coola,1994.0,3,11.3,-0.1,5.6,111.3,0.0,111.3
Bella Coola,1994.0,4,14.7,4.6,9.7,101.8,0.0,101.8
Bella Coola,1994.0,5,18.4,6.3,12.4,37.0,0.0,37.0
Bella Coola,1994.0,6,20.0,10.1,15.1,54.2,0.0,54.2
Bella Coola,1994.0,7,24.1,11.6,17.8,15.0,0.0,15.0
Bella Coola,1994.0,8,24.8,11.0,17.9,22.6,0.0,22.6
Bella Coola,1994.0,9,17.9,10.9,14.4,170.0,0.0,170.0
Bella Coola,1994.0,10,11.6,3.9,7.7,182.5,0.0,182.5
Bella Coola,1994.0,11,4.8,0.1,2.4,182.0,24.0,206.0
Bella Coola,1994.0,12,2.0,-2.5,-0.2,142.0,19.2,161.0
Bella Coola,1995.0,1,3.3,-2.8,0.3,38.2,6.0,42.6
Bella Coola,1995.0,2,5.8,-1.6,2.1,80.1,14.6,94.7
Bella Coola,1995.0,3,9.8,-1.3,4.3,15.8,0.2,16.0
Bella Coola,1995.0,4,15.2,2.8,9.0,16.3,0.0,16.3
Bella Coola,1995.0,5,20.9,5.9,13.4,40.8,0.0,40.8
Bella Coola,1995.0,6,23.3,9.0,16.2,23.8,0.0,23.8
Bella Coola,1995.0,7,22.7,12.0,17.3,80.6,0.0,80.6
Bella Coola,1995.0,8,19.7,10.0,14.9,68.6,0.0,68.6
Bella Coola,1995.0,9,22.4,8.6,15.5,27.4,0.0,27.4
Bella Coola,1995.0,10,11.0,5.4,8.2,205.5,0.0,205.5
Bella Coola,1995.0,11,5.6,-0.3,2.7,228.1,37.3,265.4
Bella Coola,1995.0,12,1.4,-3.3,-1.0,44.6,56.4,96.6
Bella Coola,1996.0,1,-2.0,-7.8,-4.9,305.4,41.4,346.8
Bella Coola,1996.0,2,6.6,-2.5,2.1,40.2,5.0,45.0
Bella Coola,1996.0,3,9.0,-0.6,4.2,69.6,7.4,74.6
Bella Coola,1996.0,4,13.7,4.3,9.1,112.8,11.0,121.4
Bella Coola,1996.0,5,16.7,4.5,10.6,33.4,0.0,33.4
Bella Coola,1996.0,6,19.4,9.0,14.2,42.2,0.0,42.2
Bella Coola,1996.0,7,24.1,10.7,17.4,26.8,0.0,26.8
Bella Coola,1996.0,8,21.1,11.7,16.4,102.6,0.0,102.6
Bella Coola,1996.0,9,16.5,7.5,12.1,67.0,0.0,67.0
Bella Coola,1996.0,10,11.4,4.5,8.0,208.3,0.0,208.3
Bella Coola,1996.0,11,2.1,-2.8,-0.4,113.1,17.7,130.8
Bella Coola,1996.0,12,-1.9,-6.4,-4.2,38.6,38.6,74.4
Bella Coola,1997.0,1,1.8,-3.8,-1.0,109.6,61.4,153.4
Bella Coola,1997.0,2,6.4,-0.7,2.8,114.5,8.3,122.8
Bella Coola,1997.0,3,6.9,-0.5,3.2,152.4,11.4,167.4
Bella Coola,1997.0,4,14.7,2.2,8.5,88.6,0.0,88.6
Bella Coola,1997.0,5,20.0,5.8,12.9,47.4,0.0,47.4
Bella Coola,1997.0,6,20.2,9.5,14.9,66.2,0.0,66.2
Bella Coola,1997.0,7,21.2,11.8,16.5,58.2,0.0,58.2
Bella Coola,1997.0,8,24.5,11.8,18.2,37.0,0.0,37.0
Bella Coola,1997.0,9,19.4,8.5,14.0,91.5,0.0,91.5
Bella Coola,1997.0,10,11.2,4.5,7.8,231.7,0.0,231.7
Bella Coola,1997.0,11,6.7,1.5,4.1,160.2,3.0,163.2
Bella Coola,1997.0,12,5.6,1.0,3.3,227.2,8.2,235.4
Bella Coola,1998.0,1,1.4,-5.1,-1.9,17.8,17.8,34.2
Bella Coola,1998.0,2,9.7,0.1,5.0,16.8,0.0,16.8
Bella Coola,1998.0,3,10.8,1.4,6.1,35.2,0.8,36.0
Bella Coola,1998.0,4,14.2,1.8,8.0,44.0,0.0,44.0
Bella Coola,1998.0,5,19.9,7.8,13.9,33.2,0.0,33.2
Bella Coola,1998.0,6,23.2,10.6,16.9,36.4,0.0,36.4
Bella Coola,1998.0,7,25.2,12.6,18.9,44.6,0.0,44.6
Bella Coola,1998.0,8,22.3,12.3,17.3,49.6,0.0,49.6
Bella Coola,1998.0,9,18.8,8.1,13.4,59.8,0.0,59.8
Bella Coola,1998.0,10,12.4,4.9,8.7,240.0,0.0,240.0
Bella Coola,1998.0,11,6.6,0.4,3.6,139.9,4.0,143.9
Bella Coola,1998.0,12,2.5,-2.2,0.1,157.4,73.1,230.5
Bella Coola,1999.0,1,2.8,-1.1,0.8,104.6,101.6,206.2
Bella Coola,1999.0,2,5.6,-0.5,2.6,74.4,10.0,84.4
Bella Coola,1999.0,3,9.6,-0.2,4.7,53.6,2.0,55.6
Bella Coola,1999.0,4,13.4,1.3,7.4,49.8,0.0,49.8
Bella Coola,1999.0,5,14.6,4.9,9.8,73.1,0.0,73.1
Bella Coola,1999.0,6,18.7,9.0,13.9,63.1,0.0,63.1
Bella Coola,1999.0,7,22.7,10.7,16.7,33.0,0.0,33.0
Bella Coola,1999.0,8,22.2,12.4,17.3,151.0,0.0,151.0
Bella Coola,1999.0,9,18.3,7.3,12.8,117.0,0.0,117.0
Bella Coola,1999.0,10,11.9,3.7,7.9,160.5,0.0,160.5
Bella Coola,1999.0,11,6.0,1.4,3.7,133.8,4.4,138.2
Bella Coola,1999.0,12,4.2,-0.6,1.8,120.4,21.8,141.0
Bella Coola,2000.0,1,1.4,-4.4,-1.5,32.2,24.2,49.8
Bella Coola,2000.0,2,6.4,-2.3,2.1,27.1,0.0,27.1
Bella Coola,2000.0,3,10.0,1.1,5.6,71.8,0.0,71.8
Bella Coola,2000.0,4,13.0,3.1,8.1,44.4,0.0,44.4
Bella Coola,2000.0,5,16.8,4.9,10.9,74.0,0.0,74.0
Bella Coola,2000.0,6,21.0,8.9,15.0,47.2,0.0,47.2
Bella Coola,2000.0,7,22.0,12.1,17.1,49.8,0.0,49.8
Bella Coola,2000.0,8,21.6,11.2,16.4,57.0,0.0,57.0
Bella Coola,2000.0,9,18.0,7.9,12.9,89.6,0.0,89.6
Bella Coola,2000.0,10,12.1,4.8,8.5,176.0,0.0,176.0
Bella Coola,2000.0,11,7.0,0.8,3.9,119.6,0.0,119.6
Bella Coola,2000.0,12,1.8,-3.3,-0.8,64.2,63.2,127.4
Bella Coola,2001.0,1,4.5,-1.7,1.4,83.0,19.6,102.6
Bella Coola,2001.0,2,5.6,-3.2,1.2,23.0,6.2,27.2
Bella Coola,2001.0,3,8.9,0.0,4.5,91.2,4.0,95.2
Bella Coola,2001.0,4,12.9,2.1,7.5,73.6,0.0,73.6
Bella Coola,2001.0,5,14.2,5.5,9.9,106.3,0.0,106.3
Bella Coola,2001.0,6,19.3,7.7,13.5,38.4,0.0,38.4
Bella Coola,2001.0,7,21.7,11.8,16.8,16.1,0.0,16.1
Bella Coola,2001.0,8,21.0,11.0,16.1,92.9,0.0,92.9
Bella Coola,2001.0,9,17.2,8.5,12.9,74.7,0.0,74.7
Bella Coola,2001.0,10,10.7,3.9,7.3,179.0,0.0,179.0
Bella Coola,2001.0,11,5.0,1.0,3.0,272.1,19.0,288.3
Bella Coola,2001.0,12,2.5,-1.8,0.3,58.5,57.4,108.8
Bella Coola,2002.0,1,3.4,-1.2,1.1,88.2,28.0,109.2
Bella Coola,2002.0,2,4.9,-1.0,2.0,93.3,5.8,98.5
Bella Coola,2002.0,3,4.5,-2.4,1.1,65.8,21.8,83.4
Bella Coola,2002.0,4,13.3,1.8,7.6,66.6,0.0,66.6
Bella Coola,2002.0,5,16.4,5.3,10.9,35.6,0.0,35.6
Bella Coola,2002.0,6,20.6,9.1,14.8,81.4,0.0,81.4
Bella Coola,2002.0,7,22.2,11.1,16.7,33.2,0.0,33.2
Bella Coola,2002.0,8,23.2,10.8,17.0,43.6,0.0,43.6
Bella Coola,2002.0,9,17.4,8.5,13.0,150.0,0.0,150.0
Bella Coola,2002.0,10,13.5,2.8,8.2,116.6,0.0,116.6
Bella Coola,2002.0,11,8.9,1.1,5.0,161.3,0.0,161.3
Bella Coola,2002.0,12,4.7,-0.8,1.9,61.1,4.6,65.3
Bella Coola,2003.0,1,5.9,-0.5,2.7,97.1,16.4,109.9
Bella Coola,2003.0,2,7.6,-1.5,3.1,14.0,0.0,14.0
Bella Coola,2003.0,3,7.6,-0.6,3.5,97.5,31.8,126.0
Bella Coola,2003.0,4,13.1,2.6,7.9,100.6,1.6,102.0
Bella Coola,2003.0,6,22.3,9.7,16.0,27.2,0.0,27.2
Bella Coola,2003.0,7,22.9,11.5,17.2,44.8,0.0,44.8
Bella Coola,2003.0,8,22.1,11.9,17.0,85.6,0.0,85.6
Bella Coola,2003.0,9,18.8,8.7,13.8,150.0,0.0,150.0
Bella Coola,2003.0,10,13.0,5.5,9.3,229.3,0.0,229.3
Bella Coola,2003.0,11,4.8,-2.1,1.3,78.6,64.4,125.6
Bella Coola,2003.0,12,2.4,-2.3,0.1,63.4,18.0,76.8
Bella Coola,2004.0,1,0.8,-4.3,-1.8,56.9,71.4,97.3
Bella Coola,2004.0,2,7.6,-1.9,2.9,15.8,8.2,23.0
Bella Coola,2004.0,3,10.8,2.0,6.4,109.0,0.0,109.0
Bella Coola,2004.0,4,17.3,3.4,10.4,30.9,0.0,30.9
Bella Coola,2004.0,5,19.5,6.6,13.1,50.7,0.0,50.7
Bella Coola,2004.0,6,24.2,9.9,17.1,9.0,0.0,9.0
Bella Coola,2004.0,7,24.2,12.4,18.3,66.4,0.0,66.4
Bella Coola,2004.0,8,23.9,12.6,18.3,145.4,0.0,145.4
Bella Coola,2004.0,9,17.1,8.2,12.7,108.3,0.0,108.3
Bella Coola,2004.0,10,11.8,4.5,8.2,225.0,0.0,225.0
Bella Coola,2004.0,11,6.0,1.1,3.6,391.5,8.6,400.1
Bella Coola,2004.0,12,3.4,-0.7,1.4,198.8,25.8,223.4
Bella Coola,2005.0,1,1.3,-4.2,-1.4,230.7,4.2,232.5
Bella Coola,2005.0,2,8.2,-2.4,2.9,162.0,21.2,181.4
Bella Coola,2005.0,3,11.5,1.2,6.4,130.4,1.0,131.6
Bella Coola,2005.0,4,15.8,4.3,10.1,53.0,0.0,53.0
Bella Coola,2005.0,5,21.4,6.8,14.2,33.4,0.0,33.4
Bella Coola,2005.0,6,20.7,11.1,15.9,48.8,0.0,48.8
Bella Coola,2005.0,7,20.8,11.4,16.2,117.5,0.0,117.5
Bella Coola,2005.0,8,23.5,11.2,17.4,94.7,0.0,94.7
Bella Coola,2005.0,9,17.5,8.5,13.0,128.3,0.0,128.3
Bella Coola,2005.0,11,5.6,0.7,3.2,142.1,15.0,156.9
Bella Coola,2005.0,12,4.7,-1.4,1.7,118.9,2.0,120.1
Bella Coola,2006.0,1,5.5,0.2,2.9,111.8,4.8,116.6
Bella Coola,2006.0,2,5.8,-1.3,2.2,49.2,20.6,68.0
Bella Coola,2006.0,3,9.5,-1.0,4.3,27.9,8.0,36.1
Bella Coola,2006.0,4,13.8,2.5,8.2,38.5,0.4,38.7
Bella Coola,2006.0,5,18.3,5.4,11.9,21.8,0.0,21.8
Bella Coola,2006.0,6,23.0,9.7,16.4,51.8,0.0,51.8
Bella Coola,2006.0,7,23.2,12.3,17.8,56.2,0.0,56.2
Bella Coola,2006.0,8,22.4,10.0,16.2,10.3,0.0,10.3
Bella Coola,2006.0,9,19.9,9.0,14.5,48.6,0.0,48.6
Bella Coola,2006.0,10,13.1,2.8,8.0,189.1,0.0,189.1
Bella Coola,2006.0,11,2.3,-2.4,0.0,165.4,99.5,251.2
Bella Coola,2006.0,12,3.0,-1.0,1.0,146.3,11.3,155.5
Bella Coola,2007.0,1,2.9,-2.9,0.0,175.5,101.6,254.9
Bella Coola,2007.0,1,2.8677419354838714,-2.8677419354838714,0.0096774193548387,175.5,101.6,254.9
Bella Coola,2007.0,2,6.0,-0.2,2.9,86.6,2.0,88.2
Bella Coola,2007.0,2,5.992857142857143,-0.1928571428571428,2.9214285714285713,86.60000000000001,2.0,88.2
Bella Coola,2007.0,3,7.443333333333333,1.1900000000000002,4.34,174.6,14.2,187.8
Bella Coola,2007.0,4,11.779310344827588,3.0620689655172413,7.43793103448276,65.4,0.0,65.4
Bella Coola,2007.0,5,17.126666666666665,5.283333333333333,11.226666666666668,74.0,0.0,74.0
Bella Coola,2007.0,6,19.303448275862067,9.43793103448276,14.389655172413793,36.2,0.0,36.2
Bella Coola,2007.0,7,22.766666666666666,11.85,17.333333333333332,61.00000000000001,0.0,61.00000000000001
Bella Coola,2007.0,8,21.73,10.486666666666668,16.136666666666667,133.70000000000002,0.0,133.70000000000002
Bella Coola,2007.0,9,18.024137931034485,8.213793103448275,13.141379310344828,86.1,0.0,86.1
Bella Coola,2007.0,10,11.31,4.98,8.17,240.1,0.0,240.1
Bella Coola,2007.0,11,5.496551724137931,0.6758620689655171,3.106896551724138,121.1,36.8,208.7
Bella Coola,2007.0,12,0.6166666666666667,-3.5533333333333337,-1.48,42.2,67.5,100.9
Bella Coola,2008.0,1,1.163333333333333,-3.8833333333333337,-1.356666666666667,29.0,17.1,45.1
Bella Coola,2008.0,2,5.924137931034483,-1.893103448275862,2.027586206896552,89.2,43.9,135.4
Bella Coola,2008.0,4,11.089655172413794,2.4827586206896552,6.817241379310344,22.6,0.0,22.6
Bella Coola,2008.0,5,17.87,6.613333333333333,12.266666666666667,35.1,0.0,35.1
Bella Coola,2008.0,6,17.951724137931034,8.568965517241379,13.286206896551723,59.4,0.0,59.4
Bella Coola,2008.0,7,20.543333333333333,10.626666666666669,15.606666666666666,41.4,0.0,41.4
Bella Coola,2008.0,8,20.93,11.24,16.113333333333333,129.0,0.0,129.0
Bella Coola,2008.0,9,17.986206896551725,7.786206896551724,12.906896551724138,62.6,0.0,62.6
Bella Coola,2008.0,10,11.093333333333334,3.8333333333333335,7.486666666666666,147.5,0.0,147.5
Bella Coola,2008.0,11,7.800000000000001,3.013793103448276,5.431034482758621,244.8,0.2,245.0
Bella Coola,2008.0,12,0.2466666666666667,-4.866666666666666,-2.32,129.8,22.0,154.2
Bella Coola,2009.0,1,2.853333333333333,-3.1366666666666663,-0.1466666666666667,70.4,44.0,126.4
Bella Coola,2009.0,2,5.539285714285714,-3.15,1.2071428571428573,18.6,15.6,50.0
Bella Coola,2009.0,4,12.724137931034482,2.306896551724138,7.541379310344827,93.4,0.0,93.4
Bella Coola,2009.0,5,17.576666666666664,4.72,11.173333333333334,57.6,0.0,57.6
Bella Coola,2009.0,6,22.2551724137931,9.489655172413793,15.89655172413793,25.8,0.0,25.8
Bella Coola,2009.0,7,26.626666666666665,11.993333333333334,19.336666666666662,17.0,0.0,17.0
Bella Coola,2009.0,8,23.727586206896554,11.73448275862069,17.75862068965517,33.6,0.0,33.6
Bella Coola,2009.0,9,17.66,9.086666666666668,13.39,116.4,0.0,116.4
Bella Coola,2009.0,10,11.612903225806452,3.541935483870968,7.609677419354839,245.8,0.2,246.0
Bella Coola,2009.0,11,4.553333333333333,0.4466666666666667,2.52,246.7,32.2,422.6
Bella Coola,2009.0,12,0.0833333333333333,-5.04,-2.4966666666666666,12.2,4.9,18.799999999999997
Bella Coola,2010.0,1,4.893548387096774,-0.8935483870967742,2.0193548387096776,78.8,0.8,84.0
Bella Coola,2010.0,2,9.489285714285714,-0.3035714285714285,4.621428571428572,23.6,0.0,23.6
Bella Coola,2010.0,3,10.436666666666667,2.1533333333333333,6.323333333333333,45.1,0.0,45.1
Bella Coola,2010.0,4,14.216666666666669,2.48,8.373333333333333,49.6,6.6000000000000005,58.4
Bella Coola,2010.0,5,18.403225806451612,5.525806451612904,11.99032258064516,20.0,0.0,20.0
Bella Coola,2010.0,6,20.15666666666667,8.893333333333334,14.556666666666668,28.8,0.0,28.8
Bella Coola,2010.0,7,25.542857142857144,10.94285714285714,18.271428571428572,9.4,0.0,9.4
Bella Coola,2010.0,8,23.583870967741937,11.738709677419354,17.683870967741935,49.2,0.0,49.2
Bella Coola,2010.0,9,17.8,8.37,13.116666666666667,313.0,0.0,313.0
Bella Coola,2010.0,10,12.703225806451613,6.267741935483872,9.51290322580645,198.2,0.0,198.2
Bella Coola,2010.0,11,3.923333333333334,-1.09,1.4200000000000002,99.8,8.0,107.8
Bella Coola,2010.0,12,1.932258064516129,-2.148387096774193,-0.0935483870967741,77.8,8.6,113.0
Bella Coola,2011.0,1,2.0413793103448277,-2.5931034482758624,-0.2655172413793102,140.6,35.0,178.4
Bella Coola,2011.0,2,2.196296296296296,-3.359259259259259,-0.5851851851851853,117.6,37.0,181.6
Bella Coola,2011.0,3,8.80967741935484,-1.487096774193548,3.6806451612903226,59.8,8.8,70.39999999999999
Bella Coola,2011.0,4,11.416666666666666,1.15,6.303333333333333,42.6,0.0,52.0
Bella Coola,2011.0,5,16.55806451612903,6.506451612903225,11.55483870967742,56.0,0.0,56.0
Bella Coola,2011.0,6,19.92,10.0,14.983333333333333,43.0,0.0,43.0
Bella Coola,2011.0,7,18.77741935483871,11.62258064516129,15.22258064516129,103.6,0.0,103.6
Bella Coola,2011.0,8,21.617241379310343,10.775862068965518,16.227586206896554,73.5,0.0,73.5
Bella Coola,2011.0,9,18.666666666666668,9.37,14.05,302.0,0.0,302.0
Bella Coola,2011.0,10,11.551612903225807,5.038709677419354,8.306451612903226,135.8,0.0,135.8
Bella Coola,2011.0,11,4.973333333333333,0.0133333333333333,2.52,201.3,3.1999999999999997,273.3
Bella Coola,2011.0,12,3.9269230769230767,-0.6038461538461538,1.6846153846153844,250.8,47.6,345.59999999999997
