FIRE_CAUSE,LATITUDE,LONGITUDE,SIZE_HA,Year,Month,Weather City,Region Name,Region Number,Region Area,Lightning Dummy
Lightning,52.7163,-120.8649,0.009,2014,08,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,51.3333,-120.8167,0.009,2003,07,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Person,55.7837,-120.9953,2.5,2003,09,Dawson Creek,Peace River,55.0,11738755.0,0
Lightning,51.1633,-118.943,0.009,2007,07,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Lightning,54.851600000000005,-127.6553,0.009,2009,07,Smithers,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Person,56.120900000000006,-120.5031,1.8,2015,07,Dawson Creek,Peace River,55.0,11738755.0,0
Lightning,49.3069,-120.473,0.1,2003,08,Penticton,Okanagan-Similkameen,7.0,1041168.0,1
Person,51.8789,-120.4961,0.009,2002,07,Williams Lake,Cariboo,41.0,8060975.0,0
Person,49.9964,-120.9117,0.1,2018,09,Penticton,Thompson-Nicola,33.0,4444942.0,0
Lightning,54.9662,-124.4591,0.009,2013,08,Prince George,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Lightning,49.1872,-119.5004,0.009,2012,10,Penticton,Okanagan-Similkameen,7.0,1041168.0,1
Lightning,49.886300000000006,-117.616,0.009,2006,09,Nakusp,Central Kootenay,3.0,2209494.0,1
Lightning,49.5355,-122.0056,0.3,2009,07,Whistler,Fraser Valley,9.0,1333528.0,1
Lightning,49.0035,-118.0767,0.009,2013,07,Nakusp,Kooteny Boundary,5.0,808452.0,1
Person,50.0178,-120.6202,0.1,2001,07,Penticton,Thompson-Nicola,33.0,4444942.0,0
Lightning,51.715500000000006,-119.4468,0.009,2002,08,Nakusp,Thompson-Nicola,33.0,4444942.0,1
Lightning,52.331,-121.6225,0.009,2003,07,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,53.8153,-120.9016,0.009,2004,08,Prince George,Fraser-Fort George,53.0,5067610.0,1
Person,49.6514,-119.6925,2.0,2002,06,Penticton,Okanagan-Similkameen,7.0,1041168.0,0
Person,49.5746,-121.8208,0.009,2010,05,Whistler,Fraser Valley,9.0,1333528.0,0
Lightning,51.8964,-122.6524,0.009,2004,06,Williams Lake,Cariboo,41.0,8060975.0,1
Person,49.5736,-124.9234,0.009,2016,07,Tofino,Comox + Strathacona,25.0,1997796.0,0
Person,52.4714,-122.4336,0.009,2017,06,Williams Lake,Cariboo,41.0,8060975.0,0
Lightning,54.038900000000005,-122.5292,0.05,2010,07,Prince George,Fraser-Fort George,53.0,5067610.0,1
Person,49.7374,-120.8765,0.2,2001,07,Penticton,Okanagan-Similkameen,7.0,1041168.0,0
Lightning,49.6157,-118.6074,0.03,2015,08,Penticton,Kooteny Boundary,5.0,808452.0,1
Lightning,49.0607,-119.1412,0.04,2008,06,Penticton,Kooteny Boundary,5.0,808452.0,1
Lightning,50.8215,-119.6108,0.1,2012,07,Penticton,Thompson-Nicola,33.0,4444942.0,1
Person,49.3402,-124.6755,0.3,2003,06,Tofino,Nanaimo,21.0,203804.0,0
Lightning,56.761300000000006,-120.0437,0.009,2006,06,Dawson Creek,Peace River,55.0,11738755.0,1
Lightning,50.5306,-119.0071,0.009,2014,07,Penticton,North Okanagan,37.0,750260.0,1
Lightning,51.729600000000005,-120.4555,0.1,2007,07,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,52.302400000000006,-120.887,0.009,2019,06,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,54.1187,-121.6605,0.2,2007,07,Prince George,Fraser-Fort George,53.0,5067610.0,1
Lightning,50.0667,-121.1667,0.009,2009,07,Penticton,Thompson-Nicola,33.0,4444942.0,1
Lightning,51.8712,-117.8926,0.009,2007,07,Golden,Columbia-Shuswap,39.0,2892919.0,1
Lightning,50.9878,-118.1214,0.1,2004,07,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Lightning,50.7315,-120.1846,0.15,2014,08,Penticton,Thompson-Nicola,33.0,4444942.0,1
Lightning,51.5097,-121.7484,0.006,2007,08,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Lightning,49.2438,-124.1748,0.009,2010,08,Vancouver,Nanaimo,21.0,203804.0,1
Person,53.9271,-123.7256,0.009,2013,07,Prince George,Bulkley-Nechako + Stikine,51.0,19202453.0,0
Lightning,50.2941,-118.6841,0.009,2009,09,Nakusp,North Okanagan,37.0,750260.0,1
Unknown,55.015,-128.2501,0.1,2019,06,Smithers,Kitimat-Stikine,49.0,10446461.0,0
Person,53.8703,-122.9995,0.5,2004,05,Prince George,Fraser-Fort George,53.0,5067610.0,0
Lightning,49.211000000000006,-116.2465,1.14,2017,07,Sparwood,Central Kootenay,3.0,2209494.0,1
Lightning,53.979200000000006,-122.071,0.3,2013,08,Prince George,Fraser-Fort George,53.0,5067610.0,1
Lightning,54.7183,-125.1119,0.009,2006,07,Smithers,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Lightning,51.9307,-124.6109,0.25,2012,08,Bella Coola,Cariboo,41.0,8060975.0,1
Person,49.168800000000005,-119.4505,0.009,2015,08,Penticton,Okanagan-Similkameen,7.0,1041168.0,0
Person,56.4451,-121.6629,300.0,2019,04,Dawson Creek,Peace River,55.0,11738755.0,0
Lightning,51.5759,-123.0251,30.0,2009,07,Williams Lake,Cariboo,41.0,8060975.0,1
Person,49.1054,-124.0717,0.03,2009,06,Vancouver,Nanaimo,21.0,203804.0,0
Lightning,49.5,-115.5,0.009,2002,08,Sparwood,East Kootenay,1.0,2754184.0,1
Lightning,53.6955,-121.1223,0.009,2015,07,Prince George,Fraser-Fort George,53.0,5067610.0,1
Person,48.7479,-123.6961,0.2,2019,06,Vancouver,Cowichan Valley,19.0,347452.0,0
Lightning,54.0429,-124.6246,0.002,2017,07,Prince George,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Lightning,59.5515,-121.459,1.0,2004,07,Fort Nelson,Northern Rockies,59.0,8511107.0,1
Lightning,49.7512,-116.9222,0.009,2002,07,Nakusp,Central Kootenay,3.0,2209494.0,1
Lightning,50.35,-126.8833,0.1,2009,07,Port Hardy,Mount Waddington,43.0,2024427.0,1
Person,50.8369,-120.4142,0.1,2003,07,Penticton,Thompson-Nicola,33.0,4444942.0,0
Lightning,50.7001,-118.6218,0.009,2010,08,Nakusp,North Okanagan,37.0,750260.0,1
Lightning,52.2104,-119.2132,0.009,2004,08,Golden,Thompson-Nicola,33.0,4444942.0,1
Lightning,50.4905,-117.3314,0.1,2008,08,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Person,51.27,-120.18,0.009,2001,07,Penticton,Thompson-Nicola,33.0,4444942.0,0
Lightning,50.840900000000005,-122.1465,0.009,2003,08,Whistler,Squamish-Lillooet,31.0,1631162.0,1
Lightning,57.9812,-122.1446,0.5,2005,05,Fort Nelson,Peace River,55.0,11738755.0,1
Lightning,49.1904,-118.7174,0.1,2015,07,Penticton,Kooteny Boundary,5.0,808452.0,1
Lightning,51.415600000000005,-121.2375,0.8,2010,04,Williams Lake,Cariboo,41.0,8060975.0,1
Person,49.238,-119.5605,0.01,2001,08,Penticton,Okanagan-Similkameen,7.0,1041168.0,0
Lightning,54.793600000000005,-124.2954,0.009,2012,07,Prince George,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Lightning,50.1079,-116.8916,0.009,2006,07,Nakusp,Central Kootenay,3.0,2209494.0,1
Lightning,51.384800000000006,-119.4678,0.009,2002,07,Penticton,Thompson-Nicola,33.0,4444942.0,1
Lightning,55.046400000000006,-123.4553,0.009,2009,07,Prince George,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Person,53.784200000000006,-123.7343,0.01,2008,03,Prince George,Bulkley-Nechako + Stikine,51.0,19202453.0,0
Lightning,52.967200000000005,-121.0508,10.0,2014,07,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,51.541,-118.3316,0.1,2009,07,Golden,Columbia-Shuswap,39.0,2892919.0,1
Lightning,49.9681,-122.3341,0.009,2009,08,Whistler,Fraser Valley,9.0,1333528.0,1
Person,49.4547,-115.5475,0.009,2009,03,Sparwood,East Kootenay,1.0,2754184.0,0
Lightning,51.2173,-119.2173,0.5,2007,08,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Lightning,49.2606,-119.7704,0.009,2003,08,Penticton,Okanagan-Similkameen,7.0,1041168.0,1
Person,52.5749,-125.4154,45.0,2017,09,Bella Coola,Cariboo,41.0,8060975.0,0
Lightning,58.5378,-120.3458,0.2,2019,05,Fort Nelson,Northern Rockies,59.0,8511107.0,1
Lightning,50.2619,-118.0672,0.2,2002,07,Nakusp,Central Kootenay,3.0,2209494.0,1
Lightning,49.752100000000006,-117.2339,0.009,2008,08,Nakusp,Central Kootenay,3.0,2209494.0,1
Person,50.7517,-120.8136,0.1,2007,07,Penticton,Thompson-Nicola,33.0,4444942.0,0
Lightning,52.4155,-125.4911,0.009,2017,07,Bella Coola,Central Coast,45.0,2449185.0,1
Person,48.901,-124.4225,0.009,2016,05,Vancouver,Cowichan Valley,19.0,347452.0,0
Lightning,54.006600000000006,-123.5827,0.009,2009,08,Prince George,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Person,50.8986,-122.7723,0.01,2002,09,Whistler,Squamish-Lillooet,31.0,1631162.0,0
Person,50.5811,-120.1929,0.009,2002,08,Penticton,Thompson-Nicola,33.0,4444942.0,0
Person,49.4703,-123.7288,0.009,2005,07,Vancouver,Sunshine Coast,29.0,377373.0,0
Lightning,54.012800000000006,-121.2007,0.2,2013,07,Prince George,Fraser-Fort George,53.0,5067610.0,1
Person,49.2141,-122.6921,0.009,2013,08,Vancouver,Greater Vancouver,15.0,288268.0,0
Person,53.935,-125.655,11.8,2002,04,Smithers,Bulkley-Nechako + Stikine,51.0,19202453.0,0
Lightning,49.4155,-118.0927,0.2,2015,07,Nakusp,Central Kootenay,3.0,2209494.0,1
Lightning,51.4998,-119.5455,0.009,2013,08,Penticton,Thompson-Nicola,33.0,4444942.0,1
Lightning,56.9356,-121.0181,0.009,2013,07,Dawson Creek,Peace River,55.0,11738755.0,1
Lightning,59.138000000000005,-121.126,4.0,2004,07,Fort Nelson,Northern Rockies,59.0,8511107.0,1
Person,52.078,-122.1795,0.009,2001,08,Williams Lake,Cariboo,41.0,8060975.0,0
Person,50.366,-121.3965,0.009,2016,08,Whistler,Thompson-Nicola,33.0,4444942.0,0
Person,49.1102,-123.9395,0.009,2010,07,Vancouver,Nanaimo,21.0,203804.0,0
Lightning,50.1537,-119.549,0.009,2004,07,Penticton,Central Okanagan,35.0,290486.0,1
Person,55.8015,-128.8971,0.009,2019,05,Smithers,Kitimat-Stikine,49.0,10446461.0,0
Lightning,52.0422,-119.072,0.009,2002,08,Nakusp,Thompson-Nicola,33.0,4444942.0,1
Lightning,52.2711,-121.5118,3.6,2015,05,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,52.4532,-120.2343,1.0,2004,07,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Person,50.1899,-121.0656,0.3,2004,04,Penticton,Thompson-Nicola,33.0,4444942.0,0
Person,49.1132,-120.4856,0.009,2003,07,Penticton,Okanagan-Similkameen,7.0,1041168.0,0
Person,50.3299,-121.3953,30.0,2017,07,Whistler,Thompson-Nicola,33.0,4444942.0,0
Person,49.4247,-120.2667,0.009,2001,07,Penticton,Okanagan-Similkameen,7.0,1041168.0,0
Person,50.0748,-125.1869,0.2,2006,08,Tofino,Comox + Strathacona,25.0,1997796.0,0
Person,54.313300000000005,-130.3,0.009,2004,08,Prince Rupert,North Coast,47.0,1977541.0,0
Person,49.8533,-119.6753,0.5,2002,09,Penticton,Central Okanagan,35.0,290486.0,0
Person,50.2937,-122.8318,0.009,2002,08,Whistler,Squamish-Lillooet,31.0,1631162.0,0
Lightning,49.1613,-117.2525,0.009,2016,08,Nakusp,Central Kootenay,3.0,2209494.0,1
Lightning,49.377,-123.1427,0.009,2014,04,Vancouver,Greater Vancouver,15.0,288268.0,1
Lightning,52.0343,-122.0277,0.009,2006,08,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,52.0537,-119.8436,0.01,2007,08,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Lightning,58.8575,-121.9688,4.7,2010,07,Fort Nelson,Northern Rockies,59.0,8511107.0,1
Lightning,49.1233,-115.2555,0.015,2019,06,Sparwood,East Kootenay,1.0,2754184.0,1
Lightning,51.1325,-121.3755,0.009,2010,07,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Person,50.9101,-121.801,1.0,2015,07,Williams Lake,Squamish-Lillooet,31.0,1631162.0,0
Lightning,51.1514,-119.4948,0.01,2008,08,Penticton,Columbia-Shuswap,39.0,2892919.0,1
Lightning,54.3565,-122.3441,0.009,2017,07,Prince George,Fraser-Fort George,53.0,5067610.0,1
Person,50.546800000000005,-116.0393,1.0,2001,08,Golden,East Kootenay,1.0,2754184.0,0
Lightning,59.241,-121.8032,6.0,2004,07,Fort Nelson,Northern Rockies,59.0,8511107.0,1
Lightning,51.2515,-117.8492,4.1,2017,08,Golden,Columbia-Shuswap,39.0,2892919.0,1
Lightning,50.866,-119.0349,0.009,2019,09,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Lightning,51.046600000000005,-119.3674,0.15,2010,08,Penticton,Columbia-Shuswap,39.0,2892919.0,1
Lightning,52.9758,-121.4367,0.009,2006,07,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,50.972,-120.8432,0.009,2009,08,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Person,49.7634,-119.17,0.009,2007,09,Penticton,Central Okanagan,35.0,290486.0,0
Person,49.5064,-123.5103,0.003,2006,08,Vancouver,Sunshine Coast,29.0,377373.0,0
Lightning,52.5236,-122.0714,0.009,2003,08,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,51.818000000000005,-124.3288,0.5,2004,06,Whistler,Cariboo,41.0,8060975.0,1
Lightning,50.136700000000005,-117.3345,0.009,2009,07,Nakusp,Central Kootenay,3.0,2209494.0,1
Person,49.3017,-119.7789,0.1,2019,05,Penticton,Okanagan-Similkameen,7.0,1041168.0,0
Lightning,49.4547,-117.2419,0.3,2015,06,Nakusp,Central Kootenay,3.0,2209494.0,1
Lightning,51.118,-119.3922,0.09,2005,08,Penticton,Columbia-Shuswap,39.0,2892919.0,1
Person,49.9621,-124.7277,1.0,2013,07,Tofino,Powell River,27.0,507533.0,0
Lightning,53.7762,-123.2972,0.009,2017,06,Prince George,Fraser-Fort George,53.0,5067610.0,1
Person,50.4178,-116.3714,11.1,2007,06,Golden,East Kootenay,1.0,2754184.0,0
Person,55.582800000000006,-121.5922,1.3,2006,04,Dawson Creek,Peace River,55.0,11738755.0,0
Person,49.3057,-121.9587,0.009,2006,09,Vancouver,Fraser Valley,9.0,1333528.0,0
Person,49.0279,-118.5962,0.002,2015,08,Penticton,Kooteny Boundary,5.0,808452.0,0
Lightning,49.297,-125.0286,0.17,2016,08,Tofino,Alberni-Clayquot,23.0,658915.0,1
Person,56.5294,-121.8049,0.1,2014,04,Dawson Creek,Peace River,55.0,11738755.0,0
Lightning,50.569100000000006,-117.9611,0.009,2009,08,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Person,54.9093,-128.3796,0.009,2018,08,Smithers,Kitimat-Stikine,49.0,10446461.0,0
Lightning,52.569,-119.0615,0.009,2013,07,Golden,Thompson-Nicola,33.0,4444942.0,1
Person,50.7136,-121.3313,0.009,2009,07,Williams Lake,Thompson-Nicola,33.0,4444942.0,0
Person,51.9332,-122.5073,2.0,2015,06,Williams Lake,Cariboo,41.0,8060975.0,0
Lightning,49.6232,-117.1715,80.0,2017,08,Nakusp,Central Kootenay,3.0,2209494.0,1
Person,55.5914,-121.587,0.4,2014,04,Dawson Creek,Peace River,55.0,11738755.0,0
Person,49.4833,-114.6667,0.1,2002,09,Sparwood,East Kootenay,1.0,2754184.0,0
Person,52.5356,-122.4265,0.009,2003,09,Williams Lake,Cariboo,41.0,8060975.0,0
Person,49.8902,-120.5404,0.009,2018,07,Penticton,Thompson-Nicola,33.0,4444942.0,0
Person,50.0565,-125.3148,0.009,2010,07,Tofino,Comox + Strathacona,25.0,1997796.0,0
Lightning,50.0347,-114.8702,0.01,2007,08,Sparwood,East Kootenay,1.0,2754184.0,1
Person,52.703500000000005,-122.2369,4.7,2009,07,Williams Lake,Cariboo,41.0,8060975.0,0
Lightning,50.7579,-121.3762,0.3,2012,08,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Lightning,49.2302,-117.9079,0.009,2005,08,Nakusp,Kooteny Boundary,5.0,808452.0,1
Person,49.136700000000005,-123.689,0.1,2006,06,Vancouver,Nanaimo,21.0,203804.0,0
Lightning,54.2529,-121.7523,0.2,2013,07,Prince George,Fraser-Fort George,53.0,5067610.0,1
Lightning,50.0833,-124.6667,0.6,2003,08,Tofino,Powell River,27.0,507533.0,1
Person,49.5803,-120.3747,0.1,2005,08,Penticton,Okanagan-Similkameen,7.0,1041168.0,0
Person,49.9863,-120.9888,0.2,2008,06,Penticton,Thompson-Nicola,33.0,4444942.0,0
Person,50.671800000000005,-127.5649,3.6,2005,03,Port Hardy,Mount Waddington,43.0,2024427.0,0
Lightning,50.35,-118.0,0.009,2001,09,Nakusp,Central Kootenay,3.0,2209494.0,1
Lightning,50.6477,-118.2873,0.009,2004,07,Nakusp,North Okanagan,37.0,750260.0,1
Lightning,49.5283,-115.85,0.009,2003,07,Sparwood,East Kootenay,1.0,2754184.0,1
Person,54.9174,-127.2007,0.056,2016,04,Smithers,Bulkley-Nechako + Stikine,51.0,19202453.0,0
Lightning,50.192800000000005,-116.9927,0.1,2007,07,Nakusp,Central Kootenay,3.0,2209494.0,1
Lightning,54.94,-122.2528,6.1000000000000005,2015,05,Prince George,Fraser-Fort George,53.0,5067610.0,1
Lightning,52.5667,-121.2333,0.009,2008,08,Williams Lake,Cariboo,41.0,8060975.0,1
Person,48.7974,-123.4857,0.009,2010,07,Vancouver,Capital,17.0,234048.99999999997,0
Person,51.865300000000005,-119.3093,0.2,2013,05,Nakusp,Thompson-Nicola,33.0,4444942.0,0
Lightning,49.3712,-119.5443,0.009,2001,07,Penticton,Okanagan-Similkameen,7.0,1041168.0,1
Person,49.0811,-124.028,0.009,2009,06,Vancouver,Nanaimo,21.0,203804.0,0
Lightning,50.5333,-119.0917,0.009,2008,07,Penticton,North Okanagan,37.0,750260.0,1
Person,56.5795,-120.373,0.009,2016,05,Dawson Creek,Peace River,55.0,11738755.0,0
Person,49.4249,-115.4252,0.01,2007,08,Sparwood,East Kootenay,1.0,2754184.0,0
Lightning,50.537200000000006,-121.2657,0.009,2005,05,Whistler,Thompson-Nicola,33.0,4444942.0,1
Lightning,50.9631,-118.6569,0.01,2007,07,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Unknown,50.1593,-118.5996,0.009,2005,08,Nakusp,North Okanagan,37.0,750260.0,0
Unknown,49.0519,-115.2264,24.0,2007,08,Sparwood,East Kootenay,1.0,2754184.0,0
Person,53.3361,-120.1852,0.01,2014,08,Williams Lake,Fraser-Fort George,53.0,5067610.0,0
Lightning,53.16,-123.3841,0.009,2010,07,Prince George,Cariboo,41.0,8060975.0,1
Person,49.27,-124.075,0.1,2001,08,Vancouver,Nanaimo,21.0,203804.0,0
Lightning,51.699000000000005,-120.1528,0.009,2008,07,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Person,51.7787,-120.975,3.4,2006,05,Williams Lake,Cariboo,41.0,8060975.0,0
Lightning,59.5602,-120.644,7.6,2010,06,Fort Nelson,Northern Rockies,59.0,8511107.0,1
Lightning,51.5037,-121.3572,0.09,2008,07,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,59.0144,-122.4101,0.009,2015,05,Fort Nelson,Northern Rockies,59.0,8511107.0,1
Lightning,50.2019,-118.3345,1.5,2003,09,Nakusp,North Okanagan,37.0,750260.0,1
Person,49.2098,-120.5509,0.1,2002,08,Penticton,Okanagan-Similkameen,7.0,1041168.0,0
Person,51.314800000000005,-120.3218,0.009,2002,09,Williams Lake,Thompson-Nicola,33.0,4444942.0,0
Lightning,54.2293,-122.0217,0.01,2003,07,Prince George,Fraser-Fort George,53.0,5067610.0,1
Lightning,50.3729,-127.0643,0.9,2018,08,Port Hardy,Mount Waddington,43.0,2024427.0,1
Lightning,51.0463,-118.8272,0.009,2007,08,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Lightning,57.853,-121.47,0.5,2015,06,Fort Nelson,Peace River,55.0,11738755.0,1
Person,54.5333,-124.3333,0.009,2001,05,Prince George,Bulkley-Nechako + Stikine,51.0,19202453.0,0
Lightning,54.1954,-127.1904,659.0,2010,08,Smithers,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Lightning,50.7404,-120.0179,0.009,2009,07,Penticton,Thompson-Nicola,33.0,4444942.0,1
Lightning,51.1447,-121.509,0.009,2003,08,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Person,48.6437,-123.7355,0.009,2016,04,Vancouver,Cowichan Valley,19.0,347452.0,0
Person,50.916700000000006,-120.2333,0.5,2012,04,Penticton,Thompson-Nicola,33.0,4444942.0,0
Lightning,52.0895,-118.0924,0.009,2013,08,Golden,Columbia-Shuswap,39.0,2892919.0,1
Lightning,49.6466,-115.8893,0.01,2017,07,Sparwood,East Kootenay,1.0,2754184.0,1
Lightning,54.000600000000006,-125.8175,0.009,2001,07,Smithers,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Lightning,51.195,-120.8767,1.2,2004,07,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Person,56.5658,-120.8665,0.009,2017,06,Dawson Creek,Peace River,55.0,11738755.0,0
Person,53.9771,-124.3816,1.5,2016,05,Prince George,Bulkley-Nechako + Stikine,51.0,19202453.0,0
Lightning,49.973600000000005,-119.4996,27.0,2012,07,Penticton,Central Okanagan,35.0,290486.0,1
Person,49.3022,-124.4504,0.009,2006,07,Vancouver,Nanaimo,21.0,203804.0,0
Lightning,52.6905,-118.5123,50.0,2018,06,Golden,Fraser-Fort George,53.0,5067610.0,1
Lightning,50.3996,-120.3336,0.009,2018,06,Penticton,Thompson-Nicola,33.0,4444942.0,1
Person,50.2038,-121.5707,0.009,2011,03,Whistler,Thompson-Nicola,33.0,4444942.0,0
Lightning,50.8703,-117.8922,0.04,2017,08,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Unknown,52.1024,-121.8682,0.01,2008,10,Williams Lake,Cariboo,41.0,8060975.0,0
Person,49.2179,-121.2386,0.009,2003,07,Penticton,Fraser Valley,9.0,1333528.0,0
Person,48.7614,-123.8308,0.7000000000000001,2008,09,Vancouver,Cowichan Valley,19.0,347452.0,0
Lightning,56.6842,-120.2933,0.97,2015,05,Dawson Creek,Peace River,55.0,11738755.0,1
Person,50.6655,-121.804,0.009,2011,08,Whistler,Squamish-Lillooet,31.0,1631162.0,0
Person,55.4236,-127.7095,0.009,2009,04,Smithers,Kitimat-Stikine,49.0,10446461.0,0
Lightning,51.4055,-121.6594,0.9,2017,07,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Lightning,52.5851,-120.9569,0.1,2006,07,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,50.657500000000006,-118.7973,0.9,2017,07,Nakusp,North Okanagan,37.0,750260.0,1
Lightning,51.413,-117.0993,0.1,2001,08,Golden,Columbia-Shuswap,39.0,2892919.0,1
Lightning,50.3029,-118.7008,0.009,2018,08,Nakusp,North Okanagan,37.0,750260.0,1
Lightning,51.2243,-119.0525,0.009,2009,07,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Lightning,49.881,-125.7897,0.009,2009,07,Tofino,Comox + Strathacona,25.0,1997796.0,1
Lightning,49.1262,-119.1468,1.2,2015,06,Penticton,Kooteny Boundary,5.0,808452.0,1
Person,49.0448,-118.9471,0.01,2014,07,Penticton,Kooteny Boundary,5.0,808452.0,0
Person,51.9912,-123.1472,0.009,2013,10,Williams Lake,Cariboo,41.0,8060975.0,0
Lightning,50.5846,-118.8837,0.009,2013,08,Nakusp,North Okanagan,37.0,750260.0,1
Lightning,50.805,-118.4247,0.009,2006,07,Nakusp,North Okanagan,37.0,750260.0,1
Lightning,55.696000000000005,-127.9609,3.0,2004,06,Smithers,Kitimat-Stikine,49.0,10446461.0,1
Lightning,51.8721,-120.8122,0.009,2008,07,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,50.256800000000005,-118.7695,0.2,2003,08,Nakusp,North Okanagan,37.0,750260.0,1
Lightning,51.319,-118.3917,0.1,2001,08,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Lightning,50.651700000000005,-124.9295,0.009,2007,07,Tofino,Comox + Strathacona,25.0,1997796.0,1
Person,55.838,-121.8176,2.1,2006,05,Dawson Creek,Peace River,55.0,11738755.0,0
Lightning,57.8697,-120.8671,0.2,2014,06,Fort Nelson,Peace River,55.0,11738755.0,1
Lightning,50.1227,-123.475,0.009,2009,07,Whistler,Squamish-Lillooet,31.0,1631162.0,1
Lightning,59.4753,-121.0431,0.7000000000000001,2005,05,Fort Nelson,Northern Rockies,59.0,8511107.0,1
Person,56.34,-120.5735,0.2,2008,09,Dawson Creek,Peace River,55.0,11738755.0,0
Lightning,50.8765,-119.9432,0.1,2002,08,Penticton,Thompson-Nicola,33.0,4444942.0,1
Person,50.912600000000005,-119.5258,0.009,2003,08,Penticton,Columbia-Shuswap,39.0,2892919.0,0
Lightning,51.009800000000006,-118.5537,0.009,2002,08,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Lightning,51.1658,-119.7048,0.8,2013,08,Penticton,Thompson-Nicola,33.0,4444942.0,1
Person,52.084700000000005,-123.3606,0.7000000000000001,2007,04,Williams Lake,Cariboo,41.0,8060975.0,0
Person,50.7,-120.3403,0.8,2007,08,Penticton,Thompson-Nicola,33.0,4444942.0,0
Person,48.8167,-123.9762,0.2,2005,08,Vancouver,Cowichan Valley,19.0,347452.0,0
Lightning,50.5626,-115.7476,0.3,2013,07,Sparwood,East Kootenay,1.0,2754184.0,1
Lightning,59.4622,-121.9382,0.2,2004,07,Fort Nelson,Northern Rockies,59.0,8511107.0,1
Person,49.7565,-124.3091,0.009,2012,04,Vancouver,Powell River,27.0,507533.0,0
Person,52.9868,-119.4639,0.2,2018,05,Williams Lake,Fraser-Fort George,53.0,5067610.0,0
Lightning,59.013200000000005,-122.3319,0.009,2015,05,Fort Nelson,Northern Rockies,59.0,8511107.0,1
Person,56.0927,-120.6536,1.9,2019,04,Dawson Creek,Peace River,55.0,11738755.0,0
Lightning,50.3537,-118.1221,0.1,2009,09,Nakusp,Central Kootenay,3.0,2209494.0,1
Lightning,51.3357,-120.1101,0.009,2012,07,Penticton,Thompson-Nicola,33.0,4444942.0,1
Lightning,49.036100000000005,-121.4319,0.009,2009,07,Vancouver,Fraser Valley,9.0,1333528.0,1
Lightning,49.290400000000005,-118.8241,0.009,2009,09,Penticton,Kooteny Boundary,5.0,808452.0,1
Lightning,53.418400000000005,-120.8793,0.01,2014,07,Williams Lake,Fraser-Fort George,53.0,5067610.0,1
Lightning,49.9436,-119.3132,0.009,2004,06,Penticton,Central Okanagan,35.0,290486.0,1
Person,49.7592,-117.4506,0.06,2015,05,Nakusp,Central Kootenay,3.0,2209494.0,0
Lightning,49.2659,-119.5486,0.2,2009,07,Penticton,Okanagan-Similkameen,7.0,1041168.0,1
Lightning,52.1783,-124.6567,0.009,2004,06,Bella Coola,Cariboo,41.0,8060975.0,1
Lightning,49.8288,-120.7877,0.5,2004,08,Penticton,Thompson-Nicola,33.0,4444942.0,1
