FIRE_CAUSE,LATITUDE,LONGITUDE,SIZE_HA,Year,Month,Weather City,Region Name,Region Number,Region Area,Lightning Dummy
Lightning,49.2577,-119.848,0.009,2004,08,Penticton,Okanagan-Similkameen,7.0,1041168.0,1
Lightning,52.4296,-120.3077,0.009,2013,08,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Lightning,57.0867,-121.8881,0.2,2008,08,Fort Nelson,Peace River,55.0,11738755.0,1
Person,55.9453,-120.8571,0.009,2006,07,Dawson Creek,Peace River,55.0,11738755.0,0
Person,51.6114,-120.6088,0.4,2009,07,Williams Lake,Cariboo,41.0,8060975.0,0
Lightning,53.5168,-120.609,0.01,2006,09,Williams Lake,Fraser-Fort George,53.0,5067610.0,1
Person,50.563,-116.118,39.0,2010,04,Golden,East Kootenay,1.0,2754184.0,0
Person,49.31,-122.2417,8.700000000000001,2010,08,Vancouver,Fraser Valley,9.0,1333528.0,0
Lightning,49.845200000000006,-118.2445,0.009,2002,08,Nakusp,Central Kootenay,3.0,2209494.0,1
Unknown,49.7825,-126.0478,0.05,2016,08,Tofino,Comox + Strathacona,25.0,1997796.0,0
Lightning,51.5844,-118.6183,0.015,2015,07,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Lightning,51.019000000000005,-118.336,0.009,2006,08,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Lightning,50.1377,-123.0642,0.009,2009,07,Whistler,Squamish-Lillooet,31.0,1631162.0,1
Lightning,52.7991,-120.6305,0.009,2006,06,Williams Lake,Cariboo,41.0,8060975.0,1
Person,49.7126,-115.9373,0.009,2005,08,Sparwood,East Kootenay,1.0,2754184.0,0
Person,50.5358,-123.074,0.009,2010,07,Whistler,Squamish-Lillooet,31.0,1631162.0,0
Lightning,52.0915,-118.5334,0.009,2009,08,Golden,Columbia-Shuswap,39.0,2892919.0,1
Lightning,54.706300000000006,-122.5325,0.1,2006,08,Prince George,Fraser-Fort George,53.0,5067610.0,1
Person,52.4527,-125.288,0.009,2002,04,Bella Coola,Cariboo,41.0,8060975.0,0
Person,54.0917,-122.7117,0.001,2003,04,Prince George,Fraser-Fort George,53.0,5067610.0,0
Lightning,49.3371,-116.8394,0.009,2014,08,Nakusp,Central Kootenay,3.0,2209494.0,1
Lightning,51.9448,-121.9518,0.009,2010,07,Williams Lake,Cariboo,41.0,8060975.0,1
Person,53.9394,-132.67270000000002,0.023,2012,08,Prince Rupert,North Coast,47.0,1977541.0,0
