Region,Municipality,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22
"Vancouver, Coast and Mountains",Burnaby,"2,763","7,161","3,178","2,516","2,859","2,721","2,924","3,397","2,784","2,578","2,369","1,790","1,881","1,925","2,396","2,535","3,380","3,217","3,623","3,875","2,987","2,516","2,570","1,732","1,947","2,103","2,622","2,933","3,322","3,066","3,532","3,879","2,973","2,572","2,551","1,838","1,976","2,158","2,429","2,800","3,193","3,225","3,593","4,095","3,304","2,735","2,438","2,006","2,094","2,507","2,517","2,813","3,582","3,620","3,938","4,685","3,450","2,927","2,834","1,903","2,327","2,615","3,172","3,104","5,076","5,612","6,305","6,360","4,970","3,907","3,213","3,005","2,738","3,366","3,909","4,366","4,958","5,759","6,785","6,671","5,739","4,387","4,258","3,102","3,183","3,436","4,178","4,404","5,531","5,031","7,521","7,561","6,103","4,850","4,018","3,278","3,379","3,874","4,444","4,763","6,439","7,069","8,066","8,245","6,548","4,338","3,999","5,541","3,592","3,735","7,571","5,214","6,541","13,438","7,788","7,497","11,466","5,442","4,295","6,338","3,629","4,226","5,019",602,631,"1,933","1,342","1,468","3,016","1,399","1,129","5,683","1,014","1,195","2,727","1,243","1,215","3,839","3,220","4,279","6,329","3,084","2,797","4,388","1,707","3,465","6,496","3,938","4,895","12,133","7,217"
"Vancouver, Coast and Mountains",FVRD – Harrison HS/Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,722","1,190","1,698","1,295","1,857","2,739","2,344","2,600","2,913","3,629"
"Vancouver, Coast and Mountains",Harrison Hot Springs,,,,,,"1,420",,,,,,,,,,,,"1,116",,,,,,,,,,,,"1,276",,,,,,,,,"1,353",,,,,,"1,902",,,,,,,,,,,,"1,968",,,,,,"1,930",,,,,,"2,213",,,,,,,,,,,,"2,070",,,,,,"2,039",,,,,,"2,257",,,"2,004",,,"2,133","1,871","1,999","2,168","2,842","3,153","2,300","1,863",,"2,377","1,864","1,525","2,298","2,035","2,223","2,274","2,962","3,288","2,264","1,995","1,995","2,324","1,847","1,875",992,15,115,917,"1,901","2,101","1,626","1,417",821,958,893,983,"1,719",967,"1,227","1,703",,,"2,423",,,,,,,,,,
"Vancouver, Coast and Mountains",Richmond,"10,799","26,305","11,269","9,178","10,543","10,778","13,378","14,133","13,069","11,357","9,824","8,438","8,919","9,080","10,235","9,842","14,458","15,886","18,332","18,911","16,288","10,168","10,084","8,023","8,880","9,076","10,253","10,101","12,447","12,765","13,944","14,628","12,191","10,921","8,922","9,027","8,721","9,019","9,491","9,517","11,920","13,822","15,040","15,578","12,810","11,243","9,858","8,684","9,985","10,017","10,775","10,301","13,959","13,920","15,806","17,718","13,717","11,422","10,444","9,114","9,848","10,223","10,814","10,859","14,129","18,276","20,079","21,261","16,343","12,866","10,914","10,393","10,276","12,113","12,769","13,215","16,540","19,466","23,021","21,681","18,867","14,813","12,482","11,715","10,706","13,008","13,700","13,793","18,179","20,401","24,279","24,646","21,576","16,992","14,041","12,528","12,566","14,088","15,427","15,108","21,332","23,652","27,279","28,013","23,322","14,353","13,119","14,739","14,262","15,643","18,933","16,677","21,641","29,142","26,060","24,251","27,698","18,126","14,193","14,960","13,654","13,700","10,179","4,605","5,801","6,565","5,997","6,041","6,839","5,600","5,150","5,842","5,681","6,365","14,618","13,408","11,215","17,262","17,525","17,068","14,442","10,874","10,915","13,109","10,090","8,689","15,149","15,834","20,571","31,140","26,953"
"Vancouver, Coast and Mountains",Surrey,"1,517","4,817","2,160","1,811","2,259","1,976","2,423","2,203","2,112","1,941","1,472","1,215","1,268","1,260","1,691","1,701","2,372","2,195","2,629","2,391","2,085","2,026","1,807","1,622","1,568","1,464","2,084","1,870","2,352","2,385","2,868","2,695","2,175","2,039","1,767","1,497","1,382","1,445","1,951","1,981","2,431","2,380","2,910","3,172","2,364","2,087","1,835","1,540","1,636","1,727","1,746","2,238","2,632","2,575","3,118","3,540","2,577","2,342","1,924","1,653","1,711","1,949","2,418","2,310","2,722","3,561","4,246","4,344","3,153","2,707","1,990","1,827","1,869","2,301","2,822","2,705","3,644","3,922","4,946","4,733","3,865","3,057","2,506","2,085","2,471","2,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,581","1,762","2,121","3,309","1,993","1,641","2,044","1,591","1,696","2,619","1,616","1,776","3,572","3,785","5,030","6,271","3,485","3,080","4,267","2,258","2,657","6,584","4,320","5,400","11,695","6,799"
"Vancouver, Coast and Mountains",Vancouver,"25,633","81,611","34,595","33,036","51,009","56,422","56,337","64,197","52,507","46,241","31,935","23,882","24,924","28,703","34,911","37,598","61,438","58,125","58,932","60,239","56,842","37,763","35,507","25,681","26,178","29,844","39,515","41,526","58,768","52,262","62,855","63,488","58,295","43,423","31,719","25,592","26,616","27,801","31,712","35,706","52,006","63,566","67,217","70,101","65,466","42,691","33,771","27,592","28,353","29,434","37,177","41,092","59,697","67,150","68,438","80,313","63,625","46,027","41,994","30,597","33,005","32,772","42,164","45,457","69,016","85,075","89,512","91,840","73,275","55,118","41,261","37,726","36,693","41,314","51,544","59,847","70,669","83,251","99,716","94,953","85,086","58,303","45,737","41,308","32,757","41,483","52,369","57,629","77,939","91,863","112,343","113,228","95,474","68,243","48,061","45,110","45,204","45,842","61,308","62,429","95,480","109,750","124,105","126,530","105,488","56,790","41,534","67,172","50,756","50,601","91,901","72,193","98,604","162,271","123,270","120,473","143,728","72,061","55,961","77,687","49,315","52,926","44,504","1,832","2,909","13,047","12,069","17,489","23,437","12,583","8,765","13,835","8,803","10,565","21,480","13,387","12,277","32,003","38,556","58,413","64,736","38,725","32,905","48,057","18,813","27,253","69,973","62,173","82,545","136,182","113,389"
"Vancouver, Coast and Mountains",Whistler,"21,041","53,579","24,174","10,963","5,556","7,255","11,942","12,638","9,849","4,166","4,169","26,318","22,152","21,928","19,593","10,990","5,160","7,529","13,406","13,507","8,545","3,627","4,533","27,963","25,545","25,584","24,003","12,979","5,708","8,995","12,281","14,772","8,176","4,695","4,667","29,208","26,363","27,372","27,244","9,755","6,341","9,596","13,622","17,285","9,739","4,640","5,526","31,240","29,282","28,498","24,791","12,885","7,518","10,267","17,122","19,178","10,750","5,589","5,481","35,029","31,210","31,425","24,567","11,634","8,544","13,652","19,631","23,471","12,898","6,742","6,458","39,296","37,168","37,936","38,082","13,712","9,778","14,663","25,015","23,676","15,034","7,589","8,580","50,338","39,075","43,305","40,689","18,715","9,720","16,745","25,365","25,372","17,110","7,738","9,532","53,956","52,808","49,652","49,060","18,288","11,858","17,408","26,464","27,742","18,513","6,668","8,808","59,355","49,102","49,574","56,821","19,391","12,054","27,684","27,750","28,078","29,766","8,507","10,258","67,049","50,223","47,955","26,758",336,570,"4,783","11,112","15,755","16,586","6,887","4,872","21,926","10,255","8,196","17,225","1,460","1,498","13,220","20,321","26,214","32,490","10,744","11,035","67,875","33,228","41,285","63,213","21,593","13,607","36,011","30,073"
"Vancouver, Coast and Mountains","Abbotsford, Chilliwack","1,397","2,426","1,694","1,474","1,757","1,606","1,883","2,063","1,620","1,704","1,345","1,027",996,"1,040","1,574","1,483","1,856","1,750","2,110","2,109","1,766","1,844","1,377","1,182","1,269","1,381","1,705","1,456","1,722","1,615","2,162","2,382","1,803","1,930","1,297","1,165","1,261","1,090","1,595","1,562","1,918","1,480","2,162","2,414","1,988","2,007","1,678","1,116","1,130","1,476","1,505","1,713","2,315","1,539","2,173","3,256","1,786","2,044","1,691","1,475","1,605","1,854","1,611","1,704","2,231","2,095","2,794","3,678","2,261","2,097","1,937","1,459","1,429","1,884","2,190","2,087","2,716","2,234","3,723","4,026","2,951","2,435","2,228","1,866","1,775","2,052","2,460","2,533","3,022","2,793","4,181","4,568","3,212","2,940","2,217","2,025","2,095","1,927","2,847","2,626","3,275","3,255","4,031","5,136","3,481","2,506","1,761","2,535","2,090","2,192","3,973","3,341","3,617","4,292","4,841","5,112","4,420","3,484","2,673","2,715","2,225","2,505","2,689",797,929,"1,514","1,882","2,337","2,805","1,857","1,487","1,721","1,179","1,456","2,666","1,953","1,739","3,055","3,730","4,415","4,488","3,208","2,776","3,299","2,273","2,802","5,131","3,978","4,228","6,598","5,261"
"Vancouver, Coast and Mountains",Langley,"1,078","2,577","1,228","1,231","1,461","1,226","1,710","1,900","1,270","1,255",951,954,860,901,"1,222","1,142","1,696","1,393","1,556","1,835","1,415","1,213","1,176","1,046","1,047","1,087","1,345","1,371","1,660","1,496","1,859","2,063","1,581","1,337","1,215","1,035","1,025","1,151","1,516","1,508","1,743","1,581","1,918","2,464","1,792","1,502","1,236","1,064","1,147","1,239","1,570","1,569","1,935","1,687","2,218","2,838","1,840","1,581","1,421","1,239","1,282","1,315","1,845","1,716","2,207","2,436","2,862","3,218","2,314","1,920","1,486","1,436","1,329","1,651","2,098","2,025","2,406","2,740","3,587","3,438","2,850","2,100","1,729","1,666","1,486","1,664","2,135","2,247","2,692","2,955","3,931","3,916","2,975","2,428","1,922","1,686","1,626","1,894","2,414","2,315","3,249","3,325","4,107","4,487","3,067","2,445","1,853","2,012","1,857","2,087","3,047","2,623","3,526","4,060","4,497","4,634","3,750","2,772","2,333","2,042","2,028","2,190","1,703",589,775,"1,068","1,216","1,450","1,488","1,456","1,240","1,212","1,154","1,229","1,949","1,382","1,191","2,060","2,855","3,651","3,777","2,598","2,562","2,465","1,716","2,321","3,969","3,146","3,485","5,550","4,426"
"Vancouver, Coast and Mountains",New Westminster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vancouver, Coast and Mountains",North Vancouver,943,"3,552","1,357","1,097","1,508","1,828","1,990","2,210","1,689","1,258",970,"1,021",961,923,"1,259","1,328","1,845","2,071","2,438","2,648","1,978","1,323","1,165","1,106",960,"1,015","1,293","1,534","1,949","1,813","2,279","2,576","1,850","1,348","1,055","1,011",895,961,"1,200","1,305","1,860","2,149","2,596","2,740","2,241","1,460","1,171","1,181","1,047","1,076","1,427","1,548","2,061","2,424","2,723","3,122","2,318","1,595","1,387","1,313","1,228","1,220","1,526","1,588","2,365","3,150","3,391","3,588","2,921","1,905","1,399","1,640","1,298","1,519","1,922","2,096","2,506","3,162","3,936","3,754","3,322","2,077","1,518","1,703","1,282","1,485","1,943","2,144","2,769","3,531","4,316","4,433","3,704","2,306","1,668","1,909","1,517","1,610","2,203","2,193","3,322","4,118","4,609","4,724","3,581","2,001","1,389","3,618","1,627","1,834","5,729","2,332","3,060","8,920","3,984","3,908","7,523","2,425","1,704","3,890","1,625","1,895","3,304",428,556,"1,960","1,114","1,444","2,854","1,210",854,"1,776",884,"1,000","2,394","1,039","1,038","3,268","2,073","2,863","5,299","1,901","1,580","3,695","1,350","1,410","5,323","2,406","3,066","9,877","4,442"
"Vancouver, Coast and Mountains",Squamish,527,"1,070",749,,,356,487,,450,,,275,305,347,637,729,389,347,560,653,461,381,276,365,207,294,513,339,373,463,638,866,524,463,255,381,261,329,456,316,423,553,677,989,611,409,336,417,351,406,440,396,477,674,899,"1,675",704,510,693,559,420,514,495,513,810,819,"1,141","1,509","1,098",604,441,797,615,734,790,708,781,"1,010","1,595","1,604","1,283",715,655,920,652,878,865,758,"1,035","1,132","1,575","1,742","1,481",986,941,"1,070","1,020","1,138","1,018",799,"1,258","1,211","1,788","2,259","1,521",,497,"1,942",788,"1,033","2,426",791,"1,266","2,808","1,863","2,321","2,411",802,916,"1,930",730,952,"1,419",249,369,463,800,"1,214","1,921",792,608,943,521,520,"1,451",561,577,"1,253","1,622","2,046","2,330","1,547",857,"1,759",958,"1,122","2,499","1,295","1,528","2,619","2,459"
"Vancouver, Coast and Mountains",Sunshine Coast/Powell River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,498","1,839",954,750,612,596,680,979,"1,116","1,570","1,856","2,912","3,015","2,376","1,261",872,785,719,733,"1,135",879,"1,494","1,996","2,832","3,013","2,285","1,227",726,"1,907",697,765,"3,675","1,306","1,714","5,233","2,905","3,330","4,577","1,372",874,"2,232",672,851,"2,710",340,464,"2,956","2,389","3,056","5,945","1,492",943,"2,317",674,"1,053","5,529",983,961,"5,865","3,619","4,174","8,027","1,986","1,514","4,425",963,"1,353","8,600","1,986","2,674","8,590","4,161"
"Vancouver, Coast and Mountains",Hope/Okanagan-Similkameen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,358,591,669,774,529,216,242,705,"1,155","1,130","1,206",850,487,811,862,638,"1,047",433,351,"1,069","1,708","1,588","1,557","1,096",685,"1,107","1,226","1,009","1,886","1,008","1,106","1,871","1,989"
