Region,Municipality,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22
Thompson Okanagan,Kamloops,"1,717","1,938","2,930","3,106","4,505","4,561","6,030","5,779","4,506","3,299","2,322","2,120","2,139","2,424","2,981","3,773","4,866","4,929","6,831","6,797","4,842","3,051","2,467","1,938","1,971","2,149","3,215","3,230","4,678","4,666","5,799","6,232","4,699","3,616","2,431","2,279","2,198","2,249","3,523","3,598","5,015","5,191","5,925","6,919","5,203","3,964","2,492","2,250","2,209","2,057","4,022","3,643","5,134","5,581","6,054","7,609","5,190","3,860","2,655","2,388","2,187","2,131","3,040","3,577","5,174","5,849","6,975","7,259","5,913","3,801","2,691","2,436","2,247","2,333","4,124","4,538","5,683","6,279","7,712","7,559","6,246","3,777","2,963","2,600","1,974","2,085","3,240","4,557","6,384","6,700","8,761","8,646","7,039","4,074","3,061","2,649","2,602","2,483","3,770","4,418","7,345","7,071","8,171","9,194","7,348","4,415","2,620","3,200","2,962","2,630","4,472","5,013","7,278","7,825","8,373","9,258","7,628","4,911","2,904","3,314","2,666","3,255","2,625",973,"1,673","2,612","3,781","4,629","4,546","3,300","2,540","2,298","1,886","2,429","3,957","3,436","3,375","4,755","8,471","8,942","7,917","5,948","5,734","5,519","4,145","4,175","6,324","6,651","9,118","10,729","10,781"
Thompson Okanagan,Kelowna,"2,590","2,602","3,676","4,653","6,373","7,031","11,995","11,829","7,705","5,181","2,896","2,171","2,596","2,696","3,275","4,676","6,527","6,966","12,073","11,444","7,254","4,744","3,061","2,350","2,631","3,053","3,544","4,319","7,024","7,313","10,978","13,178","7,728","4,702","3,468","2,469","2,533","2,908","4,058","4,539","6,715","8,568","11,421","14,583","8,413","5,238","3,223","2,788","2,602","3,383","4,974","5,191","7,256","9,363","12,611","14,769","9,127","6,180","3,906","3,195","3,189","3,674","4,950","5,188","8,993","10,367","15,247","15,309","10,714","6,180","3,902","3,221","3,289","3,866","5,644","6,253","8,726","10,981","16,248","16,369","11,654","7,042","4,505","3,745","3,261","3,949","5,967","6,434","9,960","12,057","15,769","16,260","12,318","7,301","4,631","3,900","4,802","4,315","6,156","6,563","10,081","12,074","16,548","16,172","11,314","6,231","4,543","5,526","4,386","4,775","10,207","6,837","10,985","19,351","16,343","18,195","16,430","8,412","6,057","6,383","4,749","5,047","6,724",962,"1,763","8,620","12,855","14,830","13,960","4,521","2,877","3,723","2,331","2,506","9,674","3,523","3,544","16,985","22,166","16,731","14,483","6,754","5,360","7,307","4,277","4,684","15,421","8,277","12,421","26,302","16,336"
Thompson Okanagan,Merritt,153,170,217,207,409,387,478,524,388,330,264,179,168,148,208,237,343,399,553,475,392,331,232,196,163,180,221,236,326,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thompson Okanagan,Osoyoos,193,211,334,448,834,"1,356","3,858","4,053","1,524",451,211,170,227,213,345,453,831,"1,271","4,058","4,342","1,674",552,252,186,269,253,469,460,873,"1,461","3,617","4,685","1,839",581,261,196,244,214,407,478,991,"1,750","3,639","4,718","2,269",549,254,267,289,281,478,649,"1,079","1,975","3,937","4,751","2,469",745,300,242,285,323,544,668,"1,320","2,278","4,534","4,478","2,760",815,329,376,333,425,660,811,"1,502","2,530","5,198","5,408","3,373",887,350,303,244,481,626,828,"1,659","2,777","5,120","5,664","3,178",882,388,329,298,322,644,842,"1,513","2,602","4,973","4,925","3,065",509,289,391,302,359,812,831,"1,847","3,228","5,562","5,952","2,505",820,346,414,327,371,609,155,405,"2,460","5,576","6,117","4,597","1,406",346,380,195,278,"1,442",811,649,"3,484","5,570","4,395","3,161","1,220",338,564,221,273,"1,531","1,094","2,081","4,440","6,322"
Thompson Okanagan,Penticton,360,448,790,928,"1,577","2,409","4,568","5,415","2,316","1,056",546,409,415,470,686,858,"1,652","2,407","4,309","6,046","2,285","1,151",599,534,376,506,922,"1,111","1,704","2,664","4,417","6,187","2,402","1,111",644,466,488,616,"1,201",890,"2,039","2,902","4,139","5,521","3,360","1,080",578,535,494,521,957,994,"1,734","3,240","5,155","5,817","3,174","1,285",620,622,500,610,"1,230","1,144","2,281","3,591","5,528","5,891","3,879","1,269",827,676,557,905,"1,404","1,244","2,267","3,649","6,359","6,210","4,212","1,444",769,729,462,715,"1,381","1,245","2,640","3,687","6,151","6,923","4,139","1,233",886,742,923,924,"1,679","1,525","3,160","4,506","6,283","5,875","3,698","1,455",612,"1,281",578,724,"2,664","1,527","3,136","5,750","6,513","6,161","5,147","1,659",941,"1,197",649,882,"2,030",237,609,"2,511","6,063","6,976","5,096","1,216",500,"1,098",411,554,"3,142","1,025","1,086","4,918","8,186","6,373","3,996","1,910",927,"1,809",590,770,"4,508","1,671","3,226","7,142","7,478"
Thompson Okanagan,Sun Peaks,"1,937","1,977","1,737",,,413,512,497,460,,,"1,748","1,904",,"1,651",,,367,,,354,,,"1,760",,,"1,767",,,385,,,563,,,"1,811",,,"2,245",,,581,,,601,,,"1,971",,,"2,134",,,414,,,597,,,"2,139",,,"1,983",,,560,,,767,,,"2,406",,,"2,473",,,681,,,825,292,,"2,887",,,"2,854",,,,,,849,,,"3,078",,,"3,426",,,737,,,737,220,484,"3,739","3,429","3,829","4,722",684,553,963,927,"1,081",881,327,587,"3,777","4,431","4,103","2,806",62,2,183,516,899,"1,196",230,463,"2,231","1,229","1,314","2,238",335,29,616,454,906,"1,196",291,998,"3,298","2,730","3,375","4,535",837,426,"1,259","1,129"
Thompson Okanagan,Oliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839,731,367,188,88,63,135,245,333,534,868,
Thompson Okanagan,Valemount,,,318,,,589,,,814,,,376,,,333,,,607,,,813,,,492,,,452,,,751,,,854,,,496,,,424,302,371,700,924,"1,069",776,387,208,424,378,359,421,237,408,712,999,"1,199",887,456,245,557,489,395,414,320,470,756,"1,161","1,256","1,012",455,245,635,411,420,531,322,535,815,"1,506","1,542","1,141",419,252,502,396,377,452,539,709,"1,118","1,702","1,708","1,222",587,295,464,384,420,433,538,625,"1,181","1,848","1,918","1,323",421,,503,319,289,628,517,752,"1,576","1,918","1,983","1,533",529,240,469,411,474,401,409,436,599,829,920,711,369,262,391,404,435,624,637,335,713,"1,203","1,342","1,145",900,740,737,868,820,850,570,650,"1,077",
Thompson Okanagan,Vernon,,,717,934,"1,388","1,534","2,766","2,643","1,866","1,168",747,788,731,923,777,"1,169","1,589","1,689","2,872","2,839","1,995","1,384",894,832,808,"1,211","1,175","1,310","2,012","1,909","2,873","3,438","2,355","1,507","1,107","1,001",843,"1,206","1,357","1,287","2,078","2,273","2,770","4,579","2,591","1,353","1,224","1,148","1,067","1,295","1,620","1,628","2,413","2,680","3,626","4,801","2,721","1,882","1,333","1,423","1,206","1,468","1,719","1,889","2,707","2,961","4,566","4,857","3,307","2,179","1,571","1,499","1,194","1,779","2,165","2,142","3,079","3,487","5,543","5,777","3,895","2,430","1,753","1,880","1,295","1,774","2,069","2,369","3,311","4,158","5,622","5,611","4,308","2,638","2,082","2,076","1,463","1,962","2,266","2,270","3,229","4,042","5,321","5,630","3,884",877,"1,874","2,623","1,362","1,959","3,019","2,267","3,381","4,661","5,192","5,421","4,676","2,661","2,071","2,574","1,467","2,075","1,875",238,433,"1,979","4,121","4,852","4,838","2,210","1,231","1,699","1,005","1,475","2,926","1,284","1,185","3,798","5,782","5,699","4,260","2,443","1,797","2,458","1,144","1,944","4,004","2,644","3,625","5,918","5,877"
Thompson Okanagan,Thompson/Nicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,479,778,883,608,202,,,,,135,,225,535,873,881,584,,,,,,,,308,551,972,989,689,366,,,,155,271,228,515,914,"1,293","1,386","1,058",403,230,405,151,140,238,253,639,960,"1,666","1,489","1,078",382,195,476,179,165,270,243,628,"1,212","1,634","1,750","1,443",515,214,456,154,162,200,268,831,"1,400","1,863","1,904","1,438",388,211,607,203,305,518,380,911,"1,791","2,103","2,038","2,386",443,273,"1,283",283,230,410,195,310,449,894,"1,230","1,263",518,313,385,206,213,625,238,437,859,"1,332","1,314","1,407",752,731,784,645,708,786,536,"1,163","1,610","1,541"
Thompson Okanagan,Kootenay Boundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591,601,673,338,378,"3,544","3,638","3,421","4,078",676,259,619,712,659,646,400,514,"3,556","4,192","3,890","2,401",214,125,342,620,675,"1,152",383,221,"1,384",722,701,"1,159",316,233,628,"1,019",905,"1,131",507,345,"2,977","2,194","2,831","4,192",724,412,"1,171",963
Thompson Okanagan,"Salmon Arm, Sicamous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,154","1,817","1,834","1,438",,,584,,,651,738,"1,082","1,388","1,802","1,875","1,491",,,723,,,790,,999,"1,679","1,775","1,950","1,736",,,720,,,510,,234,826,"1,203","1,525","1,731",599,358,758,383,437,"1,400",517,922,"1,850","2,895","2,842","2,111",944,765,"1,171",533,756,"1,818","1,173","1,803","2,612","3,189"
BC Rockies,Columbia Shuswap-Golden/K.H.,874,944,941,701,700,"1,067","2,242","2,284","1,306",641,354,640,856,"1,058",916,"1,168",741,"1,035","2,161","2,257","1,392",716,447,945,"1,066","1,307","1,393",723,754,"1,204","1,956","2,454","1,305",645,335,"1,269","1,461","2,401","2,194",703,776,"1,191","2,502","3,218","1,827",749,482,"1,387","1,497","1,879","1,910",991,861,"1,569","2,924","3,741","2,096","1,058",680,"1,398","1,688","2,062","1,766","1,215","1,297","2,160","4,496","4,142","2,894","1,053",555,"1,786","1,669","2,105","2,063",731,"1,298","2,469","4,751","4,716","3,289","1,272",849,"1,827","1,865","2,156","2,302","1,155","1,453","2,490","5,145","5,320","4,186","1,525",851,"1,914","1,883","2,459","2,231","1,338","1,580","3,385","5,658","5,217","3,858","1,180",687,"2,982","1,917","2,619","4,444","1,183","1,390","5,154","5,316","5,485","5,588","1,388",816,"3,357","2,208","2,506","3,228",332,475,"2,392","1,981","3,106","4,206",950,500,"2,590","1,322","1,433","3,792",989,681,"3,263","3,646","3,914","5,212","1,307",905,"4,405","2,468","3,029","6,328","1,447","1,322","6,323","4,509"
BC Rockies,Cranbrook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519,724,713,821,"1,063","1,435","1,718","1,771","1,609",812,589,603,640,784,891,844,"1,141","1,658","1,728","1,677","1,417","1,006",691,598,599,617,434,210,280,491,813,"1,106","1,369",819,591,496,587,629,802,712,"1,050","1,034","1,631","1,792","1,544","1,296",964,862,688,890,"1,045","1,014","1,429","1,997","2,130"
BC Rockies,Kimberley,534,628,257,119,284,506,638,468,403,163,124,448,457,598,315,270,184,465,627,486,398,150,93,402,564,632,384,153,252,483,557,657,482,203,62,497,526,699,427,86,201,351,271,542,657,152,64,531,375,518,802,138,217,619,494,556,488,134,85,553,359,416,678,112,257,644,576,592,618,200,93,579,354,569,837,132,241,704,591,518,622,163,147,599,387,607,775,127,359,730,579,659,662,301,141,564,495,715,955,157,294,786,662,571,819,60,152,857,486,649,"1,180",189,349,"1,066",674,630,"1,070",152,159,911,444,633,782,15,43,250,315,576,"1,109",171,80,535,306,593,"1,223",242,103,707,598,664,"1,175",163,92,919,162,230,777,182,357,"1,307",631
BC Rockies,Revelstoke,"1,494","1,857","1,630",700,740,"1,109","1,942","1,866","1,380",892,655,"1,460","1,475","1,994","1,761",887,826,"1,381","2,217","2,178","1,508",832,661,"1,565","2,097","2,548","2,386",886,920,"1,617","2,165","2,616","1,509",981,623,"1,757","2,126","3,047","2,628",,,"1,403","2,338","2,965","1,653","1,040",,"2,212","2,461","3,181","2,619",956,"1,038","1,557","2,852","3,300","1,972","1,123",,"2,258",,,"2,517",965,"1,189","1,845","3,196","3,451","2,452","1,341","1,017","2,723",,,"3,212",,,"2,247",,,"2,631","1,371",,"2,993",,,"3,762","1,296","1,631","2,234","4,563","4,652","3,083","1,869","1,206","3,220","3,994","5,195","4,062",,"1,690","2,761","4,771","4,971","3,087","1,445","1,262","5,012","4,320","5,262","6,303","1,260","1,542","3,317","4,702","4,892","4,119","1,943","1,495","5,299","4,861","5,983","3,626",215,409,"1,420","2,956","3,953","3,504","1,333",823,"2,777","1,864","2,541","3,301",691,584,"2,563","4,282","4,047","4,294","1,904","1,460","5,818","5,295","6,331","7,056","1,702","1,568","4,238","5,151"
BC Rockies,"Castlegar, Creston, Arrow, Nelson, Rossland",301,363,"1,132",927,794,"1,019","1,766","1,884","1,297","1,038",770,751,"1,029","1,225",899,759,914,"1,025","1,701","1,938","1,341",909,619,829,"1,013","1,271","1,150",765,968,"1,051","1,598","1,908","1,514","1,071",697,"1,057","1,131","1,513","1,478",720,935,"1,165","1,439","2,003","1,739","1,075",707,"1,127","1,474","1,842","1,931",903,"1,009","1,458","1,717","2,039","1,905","1,307",824,"1,354","1,581","1,992","2,276","1,235","1,489","1,904","2,673","2,905","2,734","1,653","1,065","1,639","2,020","2,455","2,441","1,742","1,546","2,064","2,826","3,107","3,017","1,611","1,106","2,210","2,236","2,437","2,401","1,517","1,892","2,663","2,964","3,427","3,085","1,799","1,323","2,011","2,349","2,763","2,687","1,551","1,770","3,015","3,290","3,449","3,355","2,164","1,071","3,279","2,692","3,063","4,143","1,941","2,660","4,288","3,975","4,513","5,175","3,124","1,883","3,641","2,911","3,768","3,361",499,623,"2,270","3,495","4,595","5,672","2,425","1,471","1,922","1,344","1,549","3,946","1,491","1,419","3,966","5,242","4,771","5,604","3,004","2,443","3,933","2,945","4,005","6,663","2,819","3,074","6,925","5,658"
BC Rockies,East Kootenay [2],,,"2,924","1,344","1,146","1,716","2,421","3,305","1,951","1,006",713,"2,715","2,907","3,449","3,038","1,327","1,219","1,681","3,047","3,304","2,466","1,219",965,"2,683","2,932","3,540","3,367","1,591","1,077","1,739","2,850","3,508","2,679","1,190",801,"2,932","3,059","3,909","3,452","1,344","1,045","2,062","3,034","3,778","2,766","1,060",792,"2,683","3,279","3,792","3,148","1,567","1,150","2,032","3,107","3,961","2,476","1,499",856,"3,046","2,831","3,256","2,457","1,422","1,408","2,453","3,640","3,993","3,092","1,341",862,"2,999","3,064","3,874","3,358","1,156","1,275","2,317","4,243","4,307","3,194","1,120",801,"3,061","3,694","4,206","3,487","1,513","1,436","2,755","4,780","4,618","3,022","1,396",890,"3,079","3,981","4,398","3,944","1,798","1,710","2,875","4,862","4,716","2,858","1,125",995,"4,196","4,082","4,414","5,556","1,617","1,553","4,349","4,763","4,963","5,621","1,428","1,405","4,858","3,543","4,436","3,601",382,423,"1,519","2,682","3,998","5,892","1,400","1,341","2,936","2,260","3,072","5,676","1,255",617,"3,419","4,864","4,955","6,215","1,622","1,791","6,608","4,445","6,057","9,898","3,014","3,319","7,955","8,452"
Cariboo Chilcotin Coast,"Cariboo Chilcotin Coast, Wells",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,859","3,083","3,561","3,862","3,710","1,539","1,036","1,371","1,083","1,315","2,331","1,521","2,345","3,382","3,664","3,969","3,632","2,018","1,182","1,343","1,024","1,424","1,548",553,"1,042","2,051","2,573","2,841","2,911","1,990","1,252","1,209",950,"1,043","1,793","1,279","1,748","3,116","3,264","3,801","3,826","2,541","1,790","1,785","1,303","1,369","2,646","1,738","2,503","3,606","4,375"
Northern,Kitimat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern,Kitimat/Stikine - Terrace City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,216",968,770,687,549,503,886,724,845,"1,243","1,285","1,793","1,712","1,246","1,056","1,085",889,913,"1,397","1,108","1,206","1,604","1,524"
Northern,Prince George,"1,695","1,600","2,483","2,496","2,385","2,883","2,551","2,774","2,794","2,680","2,449","2,015","1,907","2,011","2,756","2,737","2,947","3,021","3,270","3,502","3,757","3,428","2,768","2,393","2,139","2,339","2,941","2,859","3,070","3,517","3,427","3,384","3,101","3,445","2,786","2,279","2,091","2,307","3,028","3,124","3,577","3,927","3,676","3,755","3,428","3,479","2,921","2,394","2,484","2,520","3,012","3,228","3,648","3,727","3,560","4,218","3,946","4,073","3,231","2,641","2,649","4,185","3,710","3,268","3,820","3,603","3,884","3,595","3,998","3,322","2,670","2,182","2,330","2,340","2,905","3,451","3,620","3,715","3,917","3,745","3,922","3,300","2,968","2,312","2,358","2,555","3,324","3,652","3,776","3,578","4,470","4,792","4,077","3,657","3,120","2,458","2,689","2,525","3,503","3,557","3,680","4,013","3,988","4,979","4,738","4,437","3,043","2,905","2,779","2,737","3,884","3,979","4,515","4,371","5,188","4,077","4,346","3,900","3,359","2,760","2,690","2,663","2,562",999,"1,604","2,660","3,520","3,637","4,215","3,760","3,457","2,220","1,865","2,052","2,871","2,301","2,524","3,362","4,587","4,753","4,711","3,878","3,463","3,014","2,830","3,197","4,916","4,020","4,293","6,026","5,462"
Northern,Prince Rupert,318,657,513,405,669,"1,014","1,099","1,045",788,530,399,247,311,603,622,453,663,"1,010","1,143","1,020",896,545,547,362,361,628,481,570,675,"1,139","1,231","1,037",951,651,547,479,475,884,756,833,933,"1,273","1,484","1,383","1,180",789,869,633,642,864,636,753,955,"1,408","1,619","1,611","1,227",722,675,509,525,801,732,728,917,"1,307","1,545","1,405","1,179",875,732,578,682,934,740,711,919,"1,415","1,694","1,483","1,073",722,694,487,529,926,619,703,862,"1,430","1,617","1,622","1,100",787,644,433,545,916,683,737,992,"1,510","1,772","1,690","1,311",687,483,557,670,"1,085","1,050","1,042","1,164","1,691","1,930","1,688","1,407",895,"1,079",741,645,"1,075",688,149,307,736,"1,177","1,211","1,103",870,704,513,517,556,764,633,823,"1,311","1,706","1,861","1,345",985,960,811,642,825,"1,152","1,385","1,472","2,008","2,095"
Northern,Smithers,259,289,339,291,417,497,531,747,664,619,322,198,412,280,470,318,399,541,651,730,816,550,348,278,304,385,469,394,543,655,762,848,849,707,454,389,325,376,484,430,466,793,699,966,"1,252",657,431,623,282,304,590,334,451,994,698,776,"1,212",538,345,539,242,296,527,349,410,947,680,703,"1,209",482,287,475,217,262,596,320,419,790,620,729,"1,168",527,360,422,220,305,681,294,385,892,645,727,970,579,338,540,317,375,639,449,511,"1,027",788,934,"1,344",,388,681,438,420,940,407,534,"1,259",807,950,973,819,451,739,378,550,758,174,226,616,545,784,"1,472",567,537,754,325,313,722,352,383,"1,038",787,938,"1,527",811,919,"1,147",326,411,"1,025",602,796,"1,269","1,193"
Northern,McBride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,168,134,131,146,166,163,162,130,103,180,252
